seed_study,seed_domain,seed_url,retrieved,match_method,title_similarity,matched_record_id,matched_title,retrieval_provenance
ADOPT multicentre trial,Sample-based interactive diagnosis,https://doi.org/10.1093/clinchem/hvag029,True,doi,1.0,7fac86ba1c61d983,"Performance, Safety, and Patient Experience of an Autonomous Robotic Phlebotomy Device: A Multicenter Trial.",Europe PMC:diagnostic-sampling;PubMed:focused-robotic-blood-and-swab;PubMed:robotic-swabbing-and-blood-collection
Clinical application of a fully automated blood collection robot,Sample-based interactive diagnosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10512411/,True,pmcid,1.0,aacbef4968b3c5f3,Clinical application of a fully automated blood collection robot and its assessment of blood collection quality of anticoagulant specimens.,Europe PMC:focused-robotic-blood-and-swab;OpenAlex:focused-robotic-blood-and-swab;PubMed:focused-robotic-blood-and-swab
Comparison of swab robot versus manual collection,Sample-based interactive diagnosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10597818/,True,pmcid,1.0,1095e338db40caea,"Comparison of the safety, effectiveness, and usability of swab robot vs. manual nasopharyngeal specimen collection.",Europe PMC:focused-robotic-blood-and-swab;PubMed:focused-robotic-blood-and-swab
Autonomous swab robot for naso- and oropharyngeal screening,Sample-based interactive diagnosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10762007/,True,normalized_title_similarity,0.928,23c1e36f5180548e,Autonomous swab robot for naso- and oropharyngeal COVID-19 screening.,Europe PMC:diagnostic-laboratory-loops;OpenAlex:focused-robotic-blood-and-swab;PubMed:focused-robotic-blood-and-swab
A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,Sample-based interactive diagnosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7020148/,True,normalized_title_similarity,0.989,fd30f5d1e808fddd,A Robotic Biopsy Endoscope with Magnetic 5-DOF Locomotion and a Retractable Biopsy Punch.,Europe PMC:diagnostic-sampling
Ferrobotic swarms enable accessible and adaptable automated viral testing,Laboratory diagnostics,https://pmc.ncbi.nlm.nih.gov/articles/PMC9645323/,True,normalized_title_similarity,1.0,6aa1c70dc390e4eb,Ferrobotic swarms enable accessible and adaptable automated viral testing.,Europe PMC:diagnostic-laboratory-loops;PubMed:diagnostic-laboratory-loops
All-electronic droplet generation with real-time feedback control,Laboratory diagnostics,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769494/,False,,0.769,,,
SAMPLE autonomous protein engineering,Laboratory diagnostics,https://doi.org/10.1038/s44286-023-00002-4,False,,0.496,,,
Apple Heart Study,Everyday monitoring,https://pmc.ncbi.nlm.nih.gov/articles/PMC8112605/,False,,0.429,,,
AI-enabled detection using nocturnal breathing,Everyday monitoring,https://doi.org/10.1038/s41591-022-01932-x,False,,0.533,,,
DETECT-AHEAD,Everyday monitoring,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296689/,True,normalized_title_similarity,1.0,b6e5dd1bbf9565e4,"Feasibility of wearable sensor signals and self-reported symptoms to prompt at-home testing for acute respiratory viruses in the USA (DETECT-AHEAD): a decentralised, randomised controlled trial.",Europe PMC:wearable-triggered-testing;PubMed:wearable-triggered-testing
Pre-symptomatic detection from smartwatch data,Everyday monitoring,https://doi.org/10.1038/s41551-020-00640-6,True,doi,1.0,99c02c0d51d6a332,Pre-symptomatic detection of COVID-19 from smartwatch data.,OpenAlex:wearable-triggered-testing;PubMed:wearable-triggered-testing
