seed_study,seed_domain,evidence_role,core_search_expected,seed_url,retrieved,match_method,title_similarity,matched_record_id,matched_title,retrieval_provenance
Development of a Hand Spasticity Testing Device,Response-based interactive diagnosis,nonadaptive_comparator,False,https://doi.org/10.70322/ire.2026.10003,False,,0.559,,,
TARGET robotic-assisted bronchoscopy study,Sample-based interactive diagnosis,assisted_sampling_evidence,True,https://doi.org/10.1016/j.chest.2025.04.022,True,doi,1.0,ad9213def0c01f93,"A Prospective, Multicenter Evaluation of Safety and Diagnostic Outcomes With Robotic-Assisted Bronchoscopy: Results of the Transbronchial Biopsy Assisted by Robot Guidance in the Evaluation of Tumors of the Lung (TARGET) Trial.",Europe PMC:focused-robotic-bronchoscopy;PubMed:focused-robotic-bronchoscopy
ADOPT multicentre trial,Sample-based interactive diagnosis,bounded_embodied_acquisition,True,https://doi.org/10.1093/clinchem/hvag029,True,doi,1.0,7fac86ba1c61d983,"Performance, Safety, and Patient Experience of an Autonomous Robotic Phlebotomy Device: A Multicenter Trial.",Europe PMC:diagnostic-sampling
Clinical application of a fully automated blood collection robot,Sample-based interactive diagnosis,bounded_embodied_acquisition,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10512411/,True,pmcid,1.0,aacbef4968b3c5f3,Clinical application of a fully automated blood collection robot and its assessment of blood collection quality of anticoagulant specimens.,Europe PMC:focused-robotic-blood-and-swab;Europe PMC:robotic-swabbing-and-blood-collection;PubMed:focused-robotic-blood-and-swab;PubMed:robotic-swabbing-and-blood-collection
Comparison of swab robot versus manual collection,Sample-based interactive diagnosis,bounded_embodied_acquisition,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10597818/,True,pmcid,1.0,1095e338db40caea,"Comparison of the safety, effectiveness, and usability of swab robot vs. manual nasopharyngeal specimen collection.",Europe PMC:focused-robotic-blood-and-swab;Europe PMC:robotic-swabbing-and-blood-collection;PubMed:focused-robotic-blood-and-swab;PubMed:robotic-swabbing-and-blood-collection
Autonomous swab robot for naso- and oropharyngeal screening,Sample-based interactive diagnosis,bounded_embodied_acquisition,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10762007/,True,pmcid,1.0,23c1e36f5180548e,Autonomous swab robot for naso- and oropharyngeal COVID-19 screening.,Europe PMC:focused-robotic-blood-and-swab;Europe PMC:robotic-swabbing-and-blood-collection;PubMed:focused-robotic-blood-and-swab;PubMed:robotic-swabbing-and-blood-collection
A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,Sample-based interactive diagnosis,technical_precedent,False,https://pmc.ncbi.nlm.nih.gov/articles/PMC7020148/,True,pmcid,1.0,fd30f5d1e808fddd,A Robotic Biopsy Endoscope with Magnetic 5-DOF Locomotion and a Retractable Biopsy Punch.,Europe PMC:diagnostic-sampling;PubMed:diagnostic-sampling
Ferrobotic swarms enable accessible and adaptable automated viral testing,Laboratory diagnostics,direct_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC9645323/,True,pmcid,1.0,6aa1c70dc390e4eb,Ferrobotic swarms enable accessible and adaptable automated viral testing.,Europe PMC:ferrobotic-molecular-testing;PubMed:ferrobotic-molecular-testing
All-electronic droplet generation with real-time feedback control,Laboratory diagnostics,technical_precedent,False,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769494/,True,pmcid,1.0,5418b14e41d2650f,All-electronic droplet generation on-chip with real-time feedback control for EWOD digital microfluidics.,Europe PMC:focused-feedback-microfluidics;PubMed:focused-feedback-microfluidics
SAMPLE autonomous protein engineering,Laboratory diagnostics,technical_precedent,False,https://doi.org/10.1038/s44286-023-00002-4,False,,0.567,,,
Apple Heart Study,Everyday monitoring,human_mediated_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8112605/,True,pmcid,1.0,ec344373778cdc3c,Large-Scale Assessment of a Smartwatch to Identify Atrial Fibrillation.,Europe PMC:wearable-alert-confirmatory-testing;PubMed:wearable-alert-confirmatory-testing
AI-enabled detection using nocturnal breathing,Everyday monitoring,nonadaptive_comparator,False,https://doi.org/10.1038/s41591-022-01932-x,False,,0.535,,,
DETECT-AHEAD,Everyday monitoring,human_mediated_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296689/,True,pmcid,1.0,b6e5dd1bbf9565e4,"Feasibility of wearable sensor signals and self-reported symptoms to prompt at-home testing for acute respiratory viruses in the USA (DETECT-AHEAD): a decentralised, randomised controlled trial.",Europe PMC:wearable-alert-confirmatory-testing;Europe PMC:wearable-triggered-testing;PubMed:wearable-alert-confirmatory-testing;PubMed:wearable-triggered-testing
Pre-symptomatic detection from smartwatch data,Everyday monitoring,nonadaptive_comparator,False,https://doi.org/10.1038/s41551-020-00640-6,True,doi,1.0,99c02c0d51d6a332,Pre-symptomatic detection of COVID-19 from smartwatch data.,PubMed:wearable-triggered-testing
