report_id,slide,domain,task,study,year,study_design,sample_or_setting,key_publicly_verified_result,loop_boundary,public_url,evidence_role,evidence_stage,loop_architecture,action_risk,execution_authority,main_table,rationale,display_label,population_or_material,participant_n,specimen_or_measurement_n,procedure_n,development_data,comparator,outcome_domains,translation_stage,outcome_categories,resolved_title,resolved_identifier,metadata_status,metadata_source_url,metadata_response_sha256,metadata_checked_at,sample_string_support,result_string_support,claim_audit_source_url,claim_audit_response_sha256,claim_status
EAD-R011,9,Response-based interactive diagnosis,Spasticity assessment,Development of a Hand Spasticity Testing Device,2026,Human validation,19 participants,Accuracy 76%; weighted F1 0.76 for QMR grades 0–2,Standardized perturbation; early validation,https://doi.org/10.70322/ire.2026.10003,nonadaptive_comparator,human_validation,execution_only,reversible,device,no,Standardized perturbation supports quantitative assessment but not evidence-conditioned action selection.,Automated spasticity testing,Human participants,19,NR,NR,,Clinical rating,classification; quantitative movement response,T2 human feasibility/technical validation,technical_acquisition;diagnostic_performance,Development of a Hand Spasticity Testing Device for Quantitative Wrist Spasticity Assessment and Automated Evaluation of the Modified Tardieu Scale,10.70322/ire.2026.10003,verified_identifier,https://api.crossref.org/works/10.70322%2Fire.2026.10003,814b005e1eb6513ddeed14e807cfe7c57143337c813fc073d302ebbff70a1c76,2026-09-10T09:12:47.322528+00:00,numeric_strings_not_found,numeric_strings_not_found,,,prior_manual_article_check; not independently duplicated
EAD-R012,13-14,Sample-based interactive diagnosis,Robotic bronchoscopy,TARGET robotic-assisted bronchoscopy study,2025,Prospective multicentre,679 analysed,Strict diagnostic yield 61.6%; malignancy sensitivity 78.8%,Navigation and sampling not autonomous pathology-driven resampling,https://doi.org/10.1016/j.chest.2025.04.022,assisted_sampling_evidence,prospective_multicentre,execution_only,invasive_single_authorized,human_controlled,yes,The platform supports navigation and sampling; pathology did not drive autonomous repeat sampling.,TARGET robotic bronchoscopy,Patients with peripheral pulmonary lesions,679 analysed,NR,NR,,Prespecified diagnostic reference,diagnostic yield; sensitivity; safety; sample adequacy,T3 prospective comparative/clinical performance,diagnostic_performance;safety;analytical_validity,"A Prospective, Multicenter Evaluation of Safety and Diagnostic Outcomes With Robotic-Assisted Bronchoscopy",10.1016/j.chest.2025.04.022,verified_identifier,https://api.crossref.org/works/10.1016%2Fj.chest.2025.04.022,8f1f2abb6e8b73f9eb365e4460ec7fad2e63a6df49a946bf51651ef9ac8547bf,2026-09-10T09:12:48.376859+00:00,all_numeric_strings_found,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1016%2Fj.chest.2025.04.022%22&format=json&pageSize=1&resultType=core,53253fbe5222bef6e5e8bbfe6c14f02d6424b73450e458cae3288a864ba123ab,prior_manual_article_check; not independently duplicated
EAD-R013,13-15,Sample-based interactive diagnosis,Robotic phlebotomy,ADOPT multicentre trial,2026,Analytical equivalence plus routine-use cohort,153 equivalence; 1633 routine use,First-stick success 94.5% where suitable vein identified; mild adverse events 0.6%,Test results did not drive a repeat-draw policy,https://doi.org/10.1093/clinchem/hvag029,bounded_embodied_acquisition,multicentre_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,Sensing and control support one authorized venipuncture; test results do not authorize repeat puncture.,ADOPT robotic phlebotomy,Outpatients,153 equivalence cohort; 1633 routine-use cohort,NR,single authorized venipuncture,,Manual phlebotomy,analytical equivalence; first-stick success; safety; pain; preference,T3 prospective comparative/clinical performance,technical_acquisition;analytical_validity;safety;human_factors,"Performance, Safety, and Patient Experience of an Autonomous Robotic Phlebotomy Device: A Multicenter Trial",10.1093/clinchem/hvag029,verified_identifier,https://api.crossref.org/works/10.1093%2Fclinchem%2Fhvag029,c6b6ecca54620cdd460fda736e979321e65c258823508cad74edd221214c3260,2026-09-10T09:12:49.440395+00:00,manual_primary_record_check,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1093%2Fclinchem%2Fhvag029%22&format=json&pageSize=1&resultType=core,8de9a124874e0cbd313c53a649b1cea012dcb1add527458bfb9620467671d279,prior_manual_article_check; not independently duplicated
EAD-R014,13-15,Sample-based interactive diagnosis,Robotic phlebotomy,Clinical application of a fully automated blood collection robot,2023,Paired comparison and routine-use series,154 volunteers; 6255 willing users,Puncture success 94.3%; specimen differences judged not clinically consequential by authors,Observational evidence,https://pmc.ncbi.nlm.nih.gov/articles/PMC10512411/,bounded_embodied_acquisition,observational_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,Automated vessel localization and puncture are evaluated as a bounded acquisition loop.,Automated blood collection robot,Volunteers and routine-use patients,154 paired volunteers; 6255 willing users,NR,single authorized venipuncture,,Manual phlebotomy,analytical comparability; puncture success; pain; acceptance,T3 prospective comparative/clinical performance,technical_acquisition;analytical_validity;human_factors,Clinical application of a fully automated blood collection robot and its assessment of blood collection quality of anticoagulant specimens.,PMC10512411,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10512411&format=json&pageSize=1&resultType=core,9a7f9bb9ad00438226af977131d7094d54ef54846ad45224479b5cffde9bd6b5,2026-09-10T09:12:51.410671+00:00,manual_primary_record_check,numeric_strings_not_found,,,prior_manual_article_check; not independently duplicated
EAD-R015,13-15,Sample-based interactive diagnosis,Robotic swab,Comparison of swab robot versus manual collection,2023,Prospective controlled study,80 participants,Robot success 92.5%; 201 s versus manual 29 s,Non-random allocation by preference; lab loop human-mediated,https://pmc.ncbi.nlm.nih.gov/articles/PMC10597818/,bounded_embodied_acquisition,controlled_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,Robot sampling is controlled by procedural sensing; laboratory interpretation remains downstream.,Nasopharyngeal swab robot,Human participants,80,NR,single authorized collection,,Manual nasopharyngeal collection,collection success; time; safety; usability; assay agreement,T3 prospective comparative/clinical performance,technical_acquisition;analytical_validity;safety;workflow_efficiency;human_factors,"Comparison of the safety, effectiveness, and usability of swab robot vs. manual nasopharyngeal specimen collection.",PMC10597818,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10597818&format=json&pageSize=1&resultType=core,76cf5bfa3239e2d685557b862fe9d6d3282727b1bdd4804a5906301a61d9bfa4,2026-09-10T09:12:53.439979+00:00,all_numeric_strings_found,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10597818/fullTextXML,594fb9008230cc360a25341d2be1bed66d33178eda89ecb0343cb93400a60018,prior_manual_article_check; not independently duplicated
EAD-R016,13-15,Sample-based interactive diagnosis,Robotic swab,Autonomous swab robot for naso- and oropharyngeal screening,2023,Prospective paired studies,52 participants,Complete positive correlation reported between robot and manual samples,Human loading disinfection and sample handling remained,https://pmc.ncbi.nlm.nih.gov/articles/PMC10762007/,bounded_embodied_acquisition,paired_clinical,execution_and_verification,invasive_single_authorized,device_supervised,no,A bounded autonomous sampling action retains human loading and sample-handling steps.,Autonomous oro/nasopharyngeal swab robot,Human participants,52,NR,paired collections,,Manual collection,sample agreement; procedural success; force control,T3 prospective comparative/clinical performance,technical_acquisition;analytical_validity,Autonomous swab robot for naso- and oropharyngeal COVID-19 screening.,PMC10762007,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10762007&format=json&pageSize=1&resultType=core,21859cd187c76bf809980fa91a9e3fa3eda8b7ccdd5ca48244fc3b95ca0beabd,2026-09-10T09:12:55.270319+00:00,all_numeric_strings_found,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10762007/fullTextXML,1f0d382b2d396e05c53b48dabad746706056e85556a018a596e2243d84691f3f,prior_manual_article_check; not independently duplicated
EAD-R017,13,Sample-based interactive diagnosis,Capsule biopsy,A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,2020,In vitro and ex vivo,Porcine intestine,Sufficient samples for histological examination reported,No human clinical validation or adequacy-driven repeat,https://pmc.ncbi.nlm.nih.gov/articles/PMC7020148/,technical_precedent,preclinical,execution_only,invasive_single_authorized,human_controlled,no,The platform demonstrates navigation and biopsy acquisition without human validation or adequacy-driven resampling.,Magnetic robotic biopsy endoscope,Porcine intestine,NR,NR,NR,,Histological sufficiency assessment,locomotion; biopsy acquisition; sample sufficiency,T1 bench/preclinical,technical_acquisition;analytical_validity,A Robotic Biopsy Endoscope with Magnetic 5-DOF Locomotion and a Retractable Biopsy Punch.,PMC7020148,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC7020148&format=json&pageSize=1&resultType=core,f0246e94f171d4f63a0ee79995833d84c07c42dada7d3bdc05225074e44b3693,2026-09-10T09:12:57.174779+00:00,no_numeric_tokens,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7020148/fullTextXML,7d1b0f16176494aa4f60ea36adc60c2c37bd89dcab8851d51299b8547da49bae,prior_manual_article_check; not independently duplicated
EAD-R018,18,Laboratory diagnostics,Microfluidics,Ferrobotic swarms enable accessible and adaptable automated viral testing,2022,Platform and assay validation,Programmable RT-LAMP operations,Prevalence-based adaptive pooling and physical droplet handling demonstrated,Not a patient-outcome trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC9645323/,direct_embodied_diagnostic,assay_platform,strategic_and_execution,specimen_only,device,yes,Assay state and prevalence assumptions alter physical droplet routing and pooling.,Ferrobotic viral-testing platform,Assay droplets and control materials,NR,NR,programmable RT-LAMP operations,,Conventional pooling or assay workflow,assay performance; adaptive pooling; workflow adaptability,T1 bench/preclinical,technical_acquisition;analytical_validity;workflow_efficiency,Ferrobotic swarms enable accessible and adaptable automated viral testing.,PMC9645323,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC9645323&format=json&pageSize=1&resultType=core,2f788549cff2ae1c34e4e2d7fa53d4ab31fdfc299a514a6a3d4d451f691fc9cd,2026-09-10T09:12:59.219619+00:00,no_numeric_tokens,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9645323/fullTextXML,6a45500243c01c260c5e38285a4e567cf79603d0f9042d43f7b9a26fe7b155eb,prior_manual_article_check; not independently duplicated
EAD-R019,18,Laboratory diagnostics,Microfluidics,All-electronic droplet generation with real-time feedback control,2008,Engineering validation,EWOD chip,Improved droplet-volume uniformity with PID feedback,Supporting platform not clinical diagnostic utility,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769494/,technical_precedent,engineering_platform,execution_and_verification,specimen_only,device,no,Closed-loop droplet control is an enabling platform rather than a clinical diagnostic evaluation.,Feedback-controlled EWOD droplets,EWOD chip,NR,NR,NR,,Open-loop droplet generation,droplet uniformity; control error,T0 transferable technical precedent,technical_acquisition,All-electronic droplet generation on-chip with real-time feedback control for EWOD digital microfluidics.,PMC2769494,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC2769494&format=json&pageSize=1&resultType=core,44d648af4f4569afa179c27bcf36544c9c0321634799fb40707656f8a3b5e400,2026-09-10T09:13:00.859839+00:00,no_numeric_tokens,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC2769494&format=json&pageSize=1&resultType=core,44d648af4f4569afa179c27bcf36544c9c0321634799fb40707656f8a3b5e400,prior_manual_article_check; not independently duplicated
EAD-R020,19,Laboratory diagnostics,Self-driving laboratory,SAMPLE autonomous protein engineering,2024,Autonomous wet-lab platform,Four independent agents,≥12 °C stability improvement; <2% landscape searched; ~9 h design-to-result,Assay-development precedent not clinical diagnosis,https://doi.org/10.1038/s44286-023-00002-4,technical_precedent,self_driving_laboratory,strategic_and_execution,specimen_only,device,no,"The system is a closed experimental loop for protein engineering, not patient diagnosis.",SAMPLE self-driving laboratory,Protein-engineering experiments,NR,NR,four independent agents,,Non-autonomous or baseline search,optimization efficiency; stability; cycle time,T0 transferable technical precedent,technical_acquisition;workflow_efficiency,Self-driving laboratories to autonomously navigate the protein fitness landscape,10.1038/s44286-023-00002-4,verified_identifier,https://api.crossref.org/works/10.1038%2Fs44286-023-00002-4,8c76c787af51bd2cc9715ebc5dfe1b4baf74f61bb59c42b19c0058f3ca9966ac,2026-09-10T09:13:01.934830+00:00,no_numeric_tokens,partial_numeric_string_support,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs44286-023-00002-4%22&format=json&pageSize=1&resultType=core,0eeb984d913a4cab2a066c1b76715b1e7530cccd2a150fdbca773554457e0f00,prior_manual_article_check; not independently duplicated
EAD-R021,22-24,Everyday monitoring,Atrial fibrillation,Apple Heart Study,2019,Prospective single-group pragmatic study,419297 participants,0.52% notified; 84% concordance of subsequent notifications with AF among returned simultaneous patches,Human-mediated confirmation and substantial attrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC8112605/,human_mediated_embodied_diagnostic,pragmatic_clinical,human_mediated_confirmation,reversible,human_mediated,no,A wearable alert prompts confirmatory monitoring; attrition and human execution are part of loop performance.,Apple Heart Study,Smartwatch users,419297,ambulatory ECG patches in notified returners,NR,,Simultaneous ambulatory ECG,notification rate; rhythm concordance; follow-up completion,T3 prospective comparative/clinical performance,diagnostic_performance;workflow_efficiency,Large-Scale Assessment of a Smartwatch to Identify Atrial Fibrillation.,PMC8112605,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8112605&format=json&pageSize=1&resultType=core,464633e85849724e2931d2c7512381f47e0b717d9963d42c78b0bdbaab6f184c,2026-09-10T09:13:03.990632+00:00,all_numeric_strings_found,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8112605&format=json&pageSize=1&resultType=core,09ead02e11e985ac66cfe0c934377be1988d52df63b73a6cf08fdf3c8748d369,prior_manual_article_check; not independently duplicated
EAD-R022,22-23,Everyday monitoring,Parkinson disease,AI-enabled detection using nocturnal breathing,2022,Multicohort retrospective validation,6660 belt nights from 5652 subjects; 2601 wireless nights from 53 subjects,One-night AUC 0.889 belt and 0.906 wireless,No adaptive acquisition action,https://doi.org/10.1038/s41591-022-01932-x,nonadaptive_comparator,retrospective_validation,none,none,none,no,The study detects disease from passively acquired data without changing acquisition or testing.,Nocturnal-breathing Parkinson detection,Participants with and without Parkinson disease,5652,6660 belt nights; additional wireless cohorts,NR,,Clinical labels and held-out cohorts,discrimination; severity assessment; cross-cohort validation,T2 human feasibility/technical validation,diagnostic_performance,Artificial intelligence-enabled detection and assessment of Parkinson’s disease using nocturnal breathing signals,10.1038/s41591-022-01932-x,verified_identifier,https://api.crossref.org/works/10.1038%2Fs41591-022-01932-x,7bd4ad45be046f47bc4465214d1fe155c7ac7f35adc7fe243d67daccb95663d0,2026-09-10T09:13:05.106369+00:00,all_numeric_strings_found,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9556299/fullTextXML,e007bf66e7e0fbb5b35d6042cf52bf355caa954d526fc70721f680a02e623fba,prior_manual_article_check; not independently duplicated
