database,task_code,class_code,query,raw_hit_count,retrieved_records,retrieved_on,cutoff,api_url_template,union_included_with_query_tag
Europe PMC,A4,A,"TITLE_ABS:""robotic dermoscopy"" OR TITLE_ABS:""robot-assisted dermoscopy"" OR TITLE_ABS:""robotic skin imaging"" OR TITLE_ABS:""autonomous skin imaging"" OR TITLE_ABS:""robotic total body photography"" OR TITLE_ABS:""skin scanning robot"" OR TITLE_ABS:""robotic skin examination""",0,0,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,2
arXiv,A4,A,"((ti:""robotic dermoscopy"" OR abs:""robotic dermoscopy"") OR (ti:""robot-assisted dermoscopy"" OR abs:""robot-assisted dermoscopy"") OR (ti:""robotic skin imaging"" OR abs:""robotic skin imaging"") OR (ti:""autonomous skin imaging"" OR abs:""autonomous skin imaging"") OR (ti:""robotic total body photography"" OR abs:""robotic total body photography"") OR (ti:""skin scanning robot"" OR abs:""skin scanning robot"") OR (ti:""robotic skin examination"" OR abs:""robotic skin examination"") OR (ti:""robot dermoscopy"" OR abs:""robot dermoscopy"") OR (ti:""robot skin examination"" OR abs:""robot skin examination"") OR (ti:""robot total body photography"" OR abs:""robot total body photography"")) AND submittedDate:[190001010000 TO 202608062359]",0,0,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,2
OpenAlex,A5,A,"""robotic auscultation"" OR ""robot-assisted auscultation"" OR ""autonomous auscultation"" OR ""robotic stethoscope"" OR ""robotic heart sound"" OR ""robotic lung sound""",8,8,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,4
Europe PMC,A5,A,"TITLE_ABS:""robotic auscultation"" OR TITLE_ABS:""robot-assisted auscultation"" OR TITLE_ABS:""autonomous auscultation"" OR TITLE_ABS:""robotic stethoscope"" OR TITLE_ABS:""robotic heart sound"" OR TITLE_ABS:""robotic lung sound""",3,3,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,2
arXiv,A5,A,"((ti:""robotic auscultation"" OR abs:""robotic auscultation"") OR (ti:""robot-assisted auscultation"" OR abs:""robot-assisted auscultation"") OR (ti:""autonomous auscultation"" OR abs:""autonomous auscultation"") OR (ti:""robotic stethoscope"" OR abs:""robotic stethoscope"") OR (ti:""robotic heart sound"" OR abs:""robotic heart sound"") OR (ti:""robotic lung sound"" OR abs:""robotic lung sound"")) AND submittedDate:[190001010000 TO 202608062359]",1,1,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,1
OpenAlex,A6,A,"""robotic otoscopy"" OR ""robotic otoscope"" OR ""robot-assisted otoscopy"" OR ""autonomous otoscopy"" OR ""robotic oral examination"" OR ""robotic throat examination"" OR ""robotic ear examination"" OR ""robotic dental examination"" OR ""robotic intraoral imaging"" || robot otoscopy || robot otoscope || robot oral examination || robot intraoral imaging || robot ear examination",264,249,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,4
Europe PMC,A6,A,"TITLE_ABS:""robotic otoscopy"" OR TITLE_ABS:""robotic otoscope"" OR TITLE_ABS:""robot-assisted otoscopy"" OR TITLE_ABS:""autonomous otoscopy"" OR TITLE_ABS:""robotic oral examination"" OR TITLE_ABS:""robotic throat examination"" OR TITLE_ABS:""robotic ear examination"" OR TITLE_ABS:""robotic dental examination"" OR TITLE_ABS:""robotic intraoral imaging""",0,0,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,0
arXiv,A6,A,"((ti:""robotic otoscopy"" OR abs:""robotic otoscopy"") OR (ti:""robotic otoscope"" OR abs:""robotic otoscope"") OR (ti:""robot-assisted otoscopy"" OR abs:""robot-assisted otoscopy"") OR (ti:""autonomous otoscopy"" OR abs:""autonomous otoscopy"") OR (ti:""robotic oral examination"" OR abs:""robotic oral examination"") OR (ti:""robotic throat examination"" OR abs:""robotic throat examination"") OR (ti:""robotic ear examination"" OR abs:""robotic ear examination"") OR (ti:""robotic dental examination"" OR abs:""robotic dental examination"") OR (ti:""robotic intraoral imaging"" OR abs:""robotic intraoral imaging"") OR (ti:""robot otoscopy"" OR abs:""robot otoscopy"") OR (ti:""robot otoscope"" OR abs:""robot otoscope"") OR (ti:""robot oral examination"" OR abs:""robot oral examination"") OR (ti:""robot intraoral imaging"" OR abs:""robot intraoral imaging"") OR (ti:""robot ear examination"" OR abs:""robot ear examination"")) AND submittedDate:[190001010000 TO 202608062359]",0,0,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,0
OpenAlex,A7,A,"""robotic hyperspectral imaging"" OR ""robot-assisted hyperspectral imaging"" OR ""robotic thermography"" OR ""robotic thermal imaging"" OR ""robotic terahertz imaging"" OR ""robotic Raman spectroscopy"" OR ""robotic fluorescence imaging"" OR ""robotic photoacoustic imaging""",17,17,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,7
Europe PMC,A7,A,"TITLE_ABS:""robotic hyperspectral imaging"" OR TITLE_ABS:""robot-assisted hyperspectral imaging"" OR TITLE_ABS:""robotic thermography"" OR TITLE_ABS:""robotic thermal imaging"" OR TITLE_ABS:""robotic terahertz imaging"" OR TITLE_ABS:""robotic Raman spectroscopy"" OR TITLE_ABS:""robotic fluorescence imaging"" OR TITLE_ABS:""robotic photoacoustic imaging""",4,4,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,3
arXiv,A7,A,"((ti:""robotic hyperspectral imaging"" OR abs:""robotic hyperspectral imaging"") OR (ti:""robot-assisted hyperspectral imaging"" OR abs:""robot-assisted hyperspectral imaging"") OR (ti:""robotic thermography"" OR abs:""robotic thermography"") OR (ti:""robotic thermal imaging"" OR abs:""robotic thermal imaging"") OR (ti:""robotic terahertz imaging"" OR abs:""robotic terahertz imaging"") OR (ti:""robotic Raman spectroscopy"" OR abs:""robotic Raman spectroscopy"") OR (ti:""robotic fluorescence imaging"" OR abs:""robotic fluorescence imaging"") OR (ti:""robotic photoacoustic imaging"" OR abs:""robotic photoacoustic imaging"")) AND submittedDate:[190001010000 TO 202608062359]",0,0,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,0
