artifact_id,artifact_type,output_path,input_paths,generator_code,query_log,methods_doc,freeze_date,reproducibility_status,notes
P9_LANDSCAPE_PNG,figure,figures/public_evidence/p9_response_public_landscape.png,figures/public_evidence/p9_response_public_landscape.svg,scripts/rasterize_svg.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Rasterized SVG
P9_MATURITY_SVG,figure,figures/public_evidence/p9_response_maturity.svg,data/presentation/public_evidence_maturity_matrix.csv,scripts/make_public_presentation_figures.mjs,,docs/DATA_RIGOUR_AND_COMPLETENESS_AUDIT_2026-08-13.md,2026-08-13,reproducible,Visualizes manually curated maturity assignments
P9_MATURITY_PNG,figure,figures/public_evidence/p9_response_maturity.png,figures/public_evidence/p9_response_maturity.svg,scripts/rasterize_svg.mjs,,docs/DATA_RIGOUR_AND_COMPLETENESS_AUDIT_2026-08-13.md,2026-08-13,reproducible,Rasterized SVG
P13_LANDSCAPE_SVG,figure,figures/public_evidence/p13_sample_public_landscape.svg,outputs/public_landscape/public_title_screened_task_counts.csv;data/presentation/public_evidence_maturity_matrix.csv,scripts/make_public_presentation_figures.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Editable vector
P13_LANDSCAPE_PNG,figure,figures/public_evidence/p13_sample_public_landscape.png,figures/public_evidence/p13_sample_public_landscape.svg,scripts/rasterize_svg.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Rasterized SVG
P13_MATURITY_SVG,figure,figures/public_evidence/p13_sample_maturity.svg,data/presentation/public_evidence_maturity_matrix.csv,scripts/make_public_presentation_figures.mjs,,docs/DATA_RIGOUR_AND_COMPLETENESS_AUDIT_2026-08-13.md,2026-08-13,reproducible,Visualizes manually curated maturity assignments
P13_MATURITY_PNG,figure,figures/public_evidence/p13_sample_maturity.png,figures/public_evidence/p13_sample_maturity.svg,scripts/rasterize_svg.mjs,,docs/DATA_RIGOUR_AND_COMPLETENESS_AUDIT_2026-08-13.md,2026-08-13,reproducible,Rasterized SVG
PUBLIC_WORKBOOK,workbook,outputs/public_landscape/public_available_presentation_evidence.xlsx,outputs/public_landscape/public_title_screened_task_counts.csv;outputs/public_landscape/public_title_screened_domain_counts.csv;data/presentation/public_evidence_maturity_matrix.csv;data/presentation/verified_public_primary_evidence_2026-08-13.csv;outputs/public_landscape/public_title_screened_records.csv,scripts/workbooks/build_public_evidence_workbook.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Auditable presentation workbook
P5_TWO_AXIS_TAXONOMY,dataset,data/presentation/p5_active_observation_two_axis_taxonomy_2026-08-14.csv,,,,docs/P5_ACTIVE_OBSERVATION_TAXONOMY_REVISION_2026-08-14.md,2026-08-14,manual_curated,Conceptual taxonomy; primary task plus secondary modality and carrier axes
P5_BUCKET_OVERLAP,dataset,data/presentation/p5_retrieval_bucket_overlap_2026-08-14.csv,data/presentation/p5_public_visible_available_records_2026-08-13.csv,scripts/audit_p5_taxonomy_overlap.py,,docs/P5_ACTIVE_OBSERVATION_TAXONOMY_REVISION_2026-08-14.md,2026-08-14,reproducible,DOI-first and normalized-title overlap audit
P5_BUCKET_OVERLAP_SUMMARY,statistics,data/presentation/p5_retrieval_bucket_overlap_summary_2026-08-14.json,data/presentation/p5_public_visible_available_records_2026-08-13.csv,scripts/audit_p5_taxonomy_overlap.py,,docs/P5_ACTIVE_OBSERVATION_TAXONOMY_REVISION_2026-08-14.md,2026-08-14,reproducible,861 assignments; 855 works; 6 works in multiple retrieval buckets
