record_id,citekey,core_reference,sections,source_type,authors_short,year,title,venue,volume,locator,doi,url,evidence_role,evidence_stage,verification_status,provenance
REF011,cruzrivera2020spiritai,1,human-centred-evaluation,reporting_guideline,"Cruz Rivera S et al.",2020,"Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension",Nature Medicine,26,"1351–1363","10.1038/s41591-020-1037-7","https://www.nature.com/articles/s41591-020-1037-7","Protocol reporting for clinical trials of AI interventions",consensus_guideline,carried_from_prior_primary_link,prior_conversation
REF012,chen2024workload,1,human-centred-evaluation,systematic_review,"Chen M et al.",2024,"Impact of human and artificial intelligence collaboration on workload reduction in medical image interpretation",npj Digital Medicine,7,349,"10.1038/s41746-024-01328-w","https://www.nature.com/articles/s41746-024-01328-w","Human–AI diagnostic performance and workload",systematic_review,verified_primary_2026-08-12,prior_conversation
REF013,who2021ethics,1,"human-centred-evaluation|ethics/privacy|ethics/accountability",policy_framework,"World Health Organization",2021,"Ethics and governance of artificial intelligence for health",WHO,,,,"https://www.who.int/publications/i/item/9789240029200","Autonomy; safety; transparency; accountability; equity and sustainability",global_policy_framework,carried_from_prior_primary_link,prior_conversation
REF014,lekadir2025futureai,1,"deployment/lifecycle|ethics/equity-resilience",consensus_guideline,"Lekadir K et al.",2025,"FUTURE-AI: international consensus guideline for trustworthy and deployable artificial intelligence in healthcare",BMJ,388,r340,"10.1136/bmj-2024-081554","https://www.bmj.com/content/388/bmj-2024-081554","Trustworthy and deployable healthcare AI across the lifecycle",consensus_guideline,verified_primary_2026-08-12,prior_conversation
REF015,you2025deployment,1,deployment/lifecycle,framework,"You JG et al.",2025,"Clinical trials informed framework for real-world clinical implementation and deployment of artificial intelligence applications",npj Digital Medicine,8,107,"10.1038/s41746-025-01506-4","https://www.nature.com/articles/s41746-025-01506-4","Safety; efficacy; real-world effectiveness and post-deployment monitoring",implementation_framework,verified_primary_2026-08-12,prior_conversation
REF016,liu2022audit,1,"deployment/lifecycle|ethics/accountability",framework,"Liu X et al.",2022,"The medical algorithmic audit",The Lancet Digital Health,4,"e384–e397","10.1016/S2589-7500(22)00003-6","https://www.thelancet.com/journals/landig/article/PIIS2589-7500%2822%2900003-6/fulltext","Pre-deployment and post-deployment audit; bias and corrective action",audit_framework,carried_from_prior_primary_link,prior_conversation
REF017,koch2024shift,1,deployment/lifecycle,original_research,"Koch LM; Baumgartner CF; Berens P",2024,"Distribution shift detection for the postmarket surveillance of medical AI algorithms: a retrospective simulation study",npj Digital Medicine,7,120,"10.1038/s41746-024-01085-w","https://www.nature.com/articles/s41746-024-01085-w","Postmarket detection of population and acquisition shifts",retrospective_simulation,verified_primary_2026-08-12,prior_conversation
REF018,imdrf2017samd,1,deployment/lifecycle,technical_guidance,"IMDRF SaMD Working Group",2017,"Software as a Medical Device (SaMD): Clinical Evaluation",IMDRF,,"IMDRF/SaMD WG/N41FINAL:2017",,"https://www.imdrf.org/documents/software-medical-device-samd-clinical-evaluation","Continuous clinical evaluation and real-world performance evidence",regulatory_framework,verified_primary_2026-08-12,prior_conversation
REF019,imdrf2025gmlp,1,deployment/lifecycle,technical_guidance,"IMDRF AI/ML Working Group",2025,"Good machine learning practice for medical device development: Guiding principles",IMDRF,,"IMDRF/AIML WG/N88 FINAL:2025",,"https://www.imdrf.org/documents/good-machine-learning-practice-medical-device-development-guiding-principles","Total product lifecycle; independent testing; human–AI team and monitoring",regulatory_framework,verified_primary_2026-08-12,prior_conversation
REF020,fda2025pccp,1,deployment/lifecycle,regulatory_guidance,"US Food and Drug Administration",2025,"Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions",FDA,,"Final guidance; August 2025",,"https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence","Planned modifications; validation methods and impact assessment",regulatory_guidance,verified_primary_2026-08-12,"prior_conversation; current issue date verified"
REF021,kolbinger2024reporting,1,deployment/lifecycle,systematic_review,"Kolbinger FR et al.",2024,"Reporting guidelines in medical artificial intelligence: a systematic review and meta-analysis",Communications Medicine,4,71,"10.1038/s43856-024-00492-0","https://www.nature.com/articles/s43856-024-00492-0","Comparison of medical-AI reporting guidelines",systematic_review,verified_primary_2026-08-12,prior_conversation
REF022,martinezmartin2021ambient,1,ethics/privacy,viewpoint,"Martinez-Martin N et al.",2021,"Ethical issues in using ambient intelligence in health-care settings",The Lancet Digital Health,3,"e115–e123","10.1016/S2589-7500(20)30275-2","https://www.thelancet.com/journals/landig/article/PIIS2589-7500%2820%2930275-2/fulltext","Continuous and ambient sensing; consent; privacy and bystanders",viewpoint,verified_primary_2026-08-12,prior_conversation
REF023,cohen2020remote,1,ethics/privacy,original_analysis,"Cohen IG; Gerke S; Kramer DB",2020,"Ethical and legal implications of remote monitoring of medical devices",The Milbank Quarterly,98,"1257–1289","10.1111/1468-0009.12481","https://onlinelibrary.wiley.com/doi/full/10.1111/1468-0009.12481","Data rights and responsibility among patients; hospitals and manufacturers",legal_ethics_analysis,verified_primary_2026-08-12,prior_conversation
REF024,gerke2020home,1,ethics/privacy,perspective,"Gerke S; Shachar C; Chai PR; Cohen IG",2020,"Regulatory, safety, and privacy concerns of home monitoring technologies during COVID-19",Nature Medicine,26,"1176–1182","10.1038/s41591-020-0994-1","https://www.nature.com/articles/s41591-020-0994-1","Home monitoring; consumer-device boundaries; privacy and rapid deployment",perspective,verified_primary_2026-08-12,prior_conversation
REF025,bietz2016personalhealth,1,ethics/privacy,original_research,"Bietz MJ et al.",2016,"Opportunities and challenges in the use of personal health data for health research",Journal of the American Medical Informatics Association,23,"e42–e48","10.1093/jamia/ocv118","https://academic.oup.com/jamia/article/23/e1/e42/2379811","Ownership; access; consent; secondary use and data quality",qualitative_research,verified_primary_2026-08-12,prior_conversation
REF026,vandesande2026oversight,1,ethics/accountability,perspective,"van de Sande D; Economou-Zavlanos N; van Genderen ME",2026,"Meaningful oversight of medical AI beyond human in the loop",npj Digital Medicine,9,569,"10.1038/s41746-026-02971-1","https://www.nature.com/articles/s41746-026-02971-1","Epistemic capacity; cognitive space; decisional authority and intervention effectiveness",perspective,verified_primary_2026-08-12,prior_conversation
REF027,iso14971,1,ethics/accountability,standard,"International Organization for Standardization",2019,"ISO 14971:2019 Medical devices—Application of risk management to medical devices",ISO,,ISO14971:2019,,"https://www.iso.org/standard/72704.html","Hazard identification; risk control and residual-risk management",technical_standard,carried_from_prior_primary_link,prior_conversation
REF028,eu2024aiact,1,ethics/accountability,regulation,"European Union",2024,"Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence",Official Journal of the European Union,,"Regulation (EU) 2024/1689",,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng","Risk management; logging; transparency and human oversight for high-risk AI",binding_regulation,carried_from_prior_primary_link,prior_conversation
REF029,sjoding2020oximetry,1,ethics/equity-resilience,original_research,"Sjoding MW et al.",2020,"Racial bias in pulse oximetry measurement",New England Journal of Medicine,383,"2477–2478","10.1056/NEJMc2029240","https://www.nejm.org/doi/full/10.1056/NEJMc2029240","Measurement bias originating in sensing hardware",observational_analysis,verified_primary_2026-08-12,prior_conversation
REF030,obermeyer2019bias,1,ethics/equity-resilience,original_research,"Obermeyer Z; Powers B; Vogeli C; Mullainathan S",2019,"Dissecting racial bias in an algorithm used to manage the health of populations",Science,366,"447–453","10.1126/science.aax2342","https://www.science.org/doi/10.1126/science.aax2342","Bias from proxy targets and workflow design",retrospective_analysis,verified_primary_2026-08-12,prior_conversation
REF031,chen2023fairness,1,ethics/equity-resilience,review,"Chen RJ et al.",2023,"Algorithm fairness in artificial intelligence for medicine and healthcare",Nature Biomedical Engineering,7,"719–742","10.1038/s41551-023-01056-8","https://www.nature.com/articles/s41551-023-01056-8","Fairness across data; labels; models and clinical deployment",review,verified_primary_2026-08-12,prior_conversation
REF032,ibrahim2021datapoverty,1,ethics/equity-resilience,viewpoint,"Ibrahim H; Liu X; Zariffa N; Morris AD; Denniston AK",2021,"Health data poverty: an assailable barrier to equitable digital health care",The Lancet Digital Health,3,"e260–e265","10.1016/S2589-7500(20)30317-4","https://www.thelancet.com/journals/landig/article/PIIS2589-7500%2820%2930317-4/fulltext","Under-representation and exclusion from digital-health benefits",viewpoint,verified_primary_2026-08-12,prior_conversation
REF033,veinot2018inequality,1,ethics/equity-resilience,perspective,"Veinot TC; Mitchell H; Ancker JS",2018,"Good intentions are not enough: how informatics interventions can worsen inequality",Journal of the American Medical Informatics Association,25,"1080–1088","10.1093/jamia/ocy052","https://academic.oup.com/jamia/article/25/8/1080/4996916","Intervention-generated inequality through access; use and effectiveness",perspective,verified_primary_2026-08-12,prior_conversation
REF034,ghafur2019wannacry,1,ethics/equity-resilience,original_research,"Ghafur S et al.",2019,"A retrospective impact analysis of the WannaCry cyberattack on the NHS",npj Digital Medicine,2,98,"10.1038/s41746-019-0161-6","https://www.nature.com/articles/s41746-019-0161-6","Cybersecurity failures as clinical-service and patient-safety risks",retrospective_impact_analysis,verified_primary_2026-08-12,prior_conversation
REF035,fda2026cybersecurity,1,ethics/equity-resilience,regulatory_guidance,"US Food and Drug Administration",2026,"Cybersecurity in Medical Devices: Quality Management System Considerations and Content of Premarket Submissions",FDA,,"Final guidance; 3 February 2026",,"https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-management-system-considerations-and-content-premarket","Threat modelling; secure design; vulnerability management and resilience",regulatory_guidance,verified_primary_2026-08-12,"prior_conversation; superseding issue verified"
REF036,tom2024sdl,1,outlook/self-optimizing,review,"Tom G et al.",2024,"Self-driving laboratories for chemistry and materials science",Chemical Reviews,124,"9633–9732","10.1021/acs.chemrev.4c00055","https://pubs.acs.org/doi/10.1021/acs.chemrev.4c00055","General architecture and state of self-driving laboratories",review,verified_primary_2026-08-12,prior_conversation
REF037,hase2019sdl,1,outlook/self-optimizing,perspective,"Häse F; Roch LM; Aspuru-Guzik A",2019,"Next-generation experimentation with self-driving laboratories",Trends in Chemistry,1,"282–291","10.1016/j.trechm.2019.02.007","https://www.cell.com/trends/chemistry/abstract/S2589-5974%2819%2930019-X","Theory and architecture of closed-loop autonomous experimentation",perspective,verified_primary_2026-08-12,prior_conversation
REF038,burger2020chemist,1,outlook/self-optimizing,original_research,"Burger B et al.",2020,"A mobile robotic chemist",Nature,583,"237–241","10.1038/s41586-020-2442-2","https://www.nature.com/articles/s41586-020-2442-2","Physical mobile-robot closed loop in a laboratory",engineering_demonstration,verified_primary_2026-08-12,prior_conversation
REF039,macleod2020sdl,1,outlook/self-optimizing,original_research,"MacLeod BP et al.",2020,"Self-driving laboratory for accelerated discovery of thin-film materials",Science Advances,6,eaaz8867,"10.1126/sciadv.aaz8867","https://www.science.org/doi/10.1126/sciadv.aaz8867","Bayesian optimization plus automated execution and characterization",engineering_demonstration,verified_primary_2026-08-12,prior_conversation
REF040,angello2022optimization,1,outlook/self-optimizing,original_research,"Angello NH et al.",2022,"Closed-loop optimization of general reaction conditions for heteroaryl Suzuki–Miyaura coupling",Science,378,"399–405","10.1126/science.adc8743","https://www.science.org/doi/10.1126/science.adc8743","Autonomous adjustment of subsequent experiments",engineering_demonstration,carried_from_prior_primary_link,prior_conversation
REF041,tu2025amie,1,outlook/self-optimizing,original_research,"Tu T et al.",2025,"Towards conversational diagnostic artificial intelligence",Nature,642,"442–450","10.1038/s41586-025-08866-7","https://www.nature.com/articles/s41586-025-08866-7","Sequential history taking and diagnostic dialogue in simulated consultations",simulated_clinical_evaluation,verified_primary_2026-08-12,prior_conversation
REF042,jiang2025medagentbench,1,outlook/self-optimizing,dataset_benchmark,"Jiang Y et al.",2025,"MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents",NEJM AI,2,AIdbp2500144,"10.1056/AIdbp2500144","https://ai.nejm.org/doi/full/10.1056/AIdbp2500144","Benchmarking agent actions inside a virtual EHR",benchmark_dataset,verified_primary_2026-08-12,prior_conversation
REF043,nori2025sequential,1,outlook/self-optimizing,preprint,"Nori H et al.",2025,"Sequential Diagnosis with Language Models",arXiv,,arXiv:2506.22405,"10.48550/arXiv.2506.22405","https://arxiv.org/abs/2506.22405","Stepwise diagnostic benchmark with test selection and cost",preprint_benchmark,verified_primary_2026-08-12,prior_conversation
REF044,chen2012ipop,1,outlook/patient-specific,original_research,"Chen R et al.",2012,"Personal omics profiling reveals dynamic molecular and medical phenotypes",Cell,148,"1293–1307","10.1016/j.cell.2012.02.009","https://www.cell.com/fulltext/S0092-8674%2812%2900166-3","Longitudinal individual multi-omics profiling",longitudinal_observational,verified_primary_2026-08-12,prior_conversation
REF045,rose2019precision,1,outlook/patient-specific,original_research,"Schüssler-Fiorenza Rose SM et al.",2019,"A longitudinal big data approach for precision health",Nature Medicine,25,"792–804","10.1038/s41591-019-0414-6","https://www.nature.com/articles/s41591-019-0414-6","Dense longitudinal measurement and personal baselines",longitudinal_observational,verified_primary_2026-08-12,prior_conversation
REF046,zhou2019multiomics,1,outlook/patient-specific,original_research,"Zhou W et al.",2019,"Longitudinal multi-omics of host–microbe dynamics in prediabetes",Nature,569,"663–671","10.1038/s41586-019-1236-x","https://www.nature.com/articles/s41586-019-1236-x","Dynamic and heterogeneous personal molecular states",longitudinal_observational,verified_primary_2026-08-12,prior_conversation
REF047,dunn2021wearable,1,outlook/patient-specific,original_research,"Dunn J et al.",2021,"Wearable sensors enable personalized predictions of clinical laboratory measurements",Nature Medicine,27,"1105–1112","10.1038/s41591-021-01339-0","https://www.nature.com/articles/s41591-021-01339-0","Personalized prediction of laboratory measurements from wearable data",longitudinal_prediction,verified_primary_2026-08-12,prior_conversation
REF048,mishra2020presymptomatic,1,outlook/patient-specific,original_research,"Mishra T et al.",2020,"Pre-symptomatic detection of COVID-19 from smartwatch data",Nature Biomedical Engineering,4,"1208–1220","10.1038/s41551-020-00640-6","https://www.nature.com/articles/s41551-020-00640-6","Detection of deviation from individual wearable baselines",longitudinal_observational,carried_from_prior_primary_link,prior_conversation
REF049,acosta2022multimodal,1,outlook/patient-specific,review,"Acosta JN et al.",2022,"Multimodal biomedical AI",Nature Medicine,28,"1773–1784","10.1038/s41591-022-01981-2","https://www.nature.com/articles/s41591-022-01981-2","Integration of imaging; text; omics and sensor data",review,carried_from_prior_primary_link,prior_conversation
REF050,katsoulakis2024twins,1,outlook/patient-specific,scoping_review,"Katsoulakis E et al.",2024,"Digital twins for health: a scoping review",npj Digital Medicine,7,77,"10.1038/s41746-024-01073-0","https://www.nature.com/articles/s41746-024-01073-0","Definitions; implementation levels and evidence limitations of health digital twins",scoping_review,verified_primary_2026-08-12,prior_conversation
REF051,brown2019closedloop,1,outlook/detection-intervention,randomized_trial,"Brown SA et al.",2019,"Six-month randomized, multicenter trial of closed-loop control in type 1 diabetes",New England Journal of Medicine,381,"1707–1717","10.1056/NEJMoa1907863","https://www.nejm.org/doi/full/10.1056/NEJMoa1907863","Mature device-level sensing–intervention closed loop",randomized_controlled_trial,verified_primary_2026-08-12,prior_conversation
REF052,scangos2021closedloop,1,outlook/detection-intervention,case_report,"Scangos KW et al.",2021,"Closed-loop neuromodulation in an individual with treatment-resistant depression",Nature Medicine,27,"1696–1700","10.1038/s41591-021-01480-w","https://www.nature.com/articles/s41591-021-01480-w","Patient-specific biomarker-triggered neurostimulation",single_patient_proof_of_concept,verified_primary_2026-08-12,prior_conversation
REF053,lee2016graphene,1,outlook/detection-intervention,original_research,"Lee H et al.",2016,"A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy",Nature Nanotechnology,11,"566–572","10.1038/nnano.2016.38","https://www.nature.com/articles/nnano.2016.38","Integrated biochemical sensing and responsive drug delivery",preclinical_engineering,verified_primary_2026-08-12,prior_conversation
REF054,topalovic2023neurostack,1,outlook/detection-intervention,technical_report,"Topalovic U et al.",2023,"A wearable platform for closed-loop stimulation and recording of single-neuron and local field potential activity in freely moving humans",Nature Neuroscience,26,"517–527","10.1038/s41593-023-01260-4","https://www.nature.com/articles/s41593-023-01260-4","Wearable neural recording; state decoding and closed-loop stimulation",human_technical_demonstration,verified_primary_2026-08-12,prior_conversation
REF055,mcdonald2024lhs,1,outlook/detection-intervention,analysis,"McDonald PL et al.",2024,"Data to knowledge to improvement: creating the learning health system",BMJ,384,e076175,"10.1136/bmj-2023-076175","https://www.bmj.com/content/384/bmj-2023-076175","System-level data–knowledge–practice learning cycle",health_system_framework,verified_primary_2026-08-12,prior_conversation
REF056,fda2023pclc,1,outlook/detection-intervention,regulatory_guidance,"US Food and Drug Administration",2023,"Technical Considerations for Medical Devices with Physiologic Closed-Loop Control Technology",FDA,,"Final guidance; 2023",,"https://www.fda.gov/regulatory-information/search-fda-guidance-documents/technical-considerations-medical-devices-physiologic-closed-loop-control-technology","Control performance; abnormal states; testing and manual takeover",regulatory_guidance,verified_primary_2026-08-12,prior_conversation
REF057,sounderajah2026correction,0,metadata-update,author_correction,"Sounderajah V et al.",2026,"Author Correction: The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence",Nature Medicine,,,"10.1038/s41591-026-04570-9","https://www.nature.com/articles/s41591-026-04570-9","Correction notice associated with REF002",author_correction,verified_primary_2026-08-12,added_during_rebuild_update
REF058,marcus2024correction,0,metadata-update,author_correction,"Marcus HJ et al.",2024,"Author Correction: The IDEAL framework for surgical robotics: development, comparative evaluation and long-term monitoring",Nature Medicine,30,1213,"10.1038/s41591-024-02836-8","https://www.nature.com/articles/s41591-024-02836-8","Correction notice associated with REF004",author_correction,verified_primary_2026-08-12,added_during_rebuild_update
