work_key,title,year,doi,primary_mechanism_code,primary_mechanism_en,primary_mechanism_cn,primary_task_code,primary_task_en,primary_task_cn,secondary_task_codes,all_title_rule_hits,classification_rule,public_visible,public_available_location_identified,best_public_url,record_url,sources,screening_level
doi:10.1007/978-3-031-76428-8_73,Comparison Between Force and Ultrasound Image-Based Controllers for Autonomous Robotic Ultrasound Acquisition in Different Tissue Types,2024,10.1007/978-3-031-76428-8_73,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://ris.utwente.nl/ws/files/501424076/978-3-031-76428-8_73.pdf,https://doi.org/10.1007/978-3-031-76428-8_73,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/978-3-642-33418-4_67,Ultrasound and fluoroscopic images fusion by autonomous ultrasound probe detection.,2012,10.1007/978-3-642-33418-4_67,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/978-3-642-33418-4_67.pdf,https://doi.org/10.1007/978-3-642-33418-4_67,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s00132-025-04753-1,Palpation sensing for robotic-assisted surgery Palpationssensorik für die robotergestützte Chirurgie,2025,10.1007/s00132-025-04753-1,1.2,Response-based interactive diagnosis,响应式交互诊断,R1,Robotic palpation,机器人触诊,,R1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s00132-025-04753-1.pdf,https://doi.org/10.1007/s00132-025-04753-1,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s00138-017-0905-8,Sparse-then-Dense Alignment based 3D Map Reconstruction Method for Endoscopic Capsule Robots,2017,10.1007/s00138-017-0905-8,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007%2Fs00138-017-0905-8.pdf,https://doi.org/10.1007/s00138-017-0905-8,arXiv,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s00464-025-12415-8,Application of artificial intelligence for detection of Helicobacter pylori infection by magnetically controlled capsule endoscopy.,2026,10.1007/s00464-025-12415-8,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s00464-025-12415-8,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s10396-026-01667-z,Feasibility and preliminary validation of an autonomous robotic ultrasound system for thyroid nodule screening: a pilot prospective study.,2026,10.1007/s10396-026-01667-z,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s10396-026-01667-z,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s10846-022-01615-2,A Visual Servo Controlled Robotic System for MRI-guided Breast Biopsy,2022,10.1007/s10846-022-01615-2,1.3,Sample-based interactive diagnosis,采样式交互诊断,S1,Percutaneous or core-needle biopsy,经皮或芯针活检,,S1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s10846-022-01615-2,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11431-022-2232-5,Puncture site decision method for venipuncture robot based on near-infrared vision and multiobjective optimization.,2023,10.1007/s11431-022-2232-5,1.3,Sample-based interactive diagnosis,采样式交互诊断,S4,Venipuncture and phlebotomy,静脉穿刺与采血,,S4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11431-022-2232-5.pdf,https://doi.org/10.1007/s11431-022-2232-5,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11432-018-9664-3,Automatic ultrasound scanning system based on robotic arm,2019,10.1007/s11432-018-9664-3,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11432-018-9664-3,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11432-024-4288-3,Toward eFAST autonomous robotic ultrasound imaging: system integrations and experimental studies,2025,10.1007/s11432-024-4288-3,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11432-024-4288-3,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-017-1561-1,On the reproducibility of expert-operated and robotic ultrasound acquisitions.,2017,10.1007/s11548-017-1561-1,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-017-1561-1,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-017-1566-9,Force-assisted ultrasound imaging system through dual force sensing and admittance robot control.,2017,10.1007/s11548-017-1566-9,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-017-1566-9,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-018-1759-x,Robotic ultrasound-guided facet joint insertion.,2018,10.1007/s11548-018-1759-x,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-018-1759-x,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-020-02130-1,Robotic fetal ultrasonography platform with a passive scan mechanism.,2020,10.1007/s11548-020-02130-1,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-020-02130-1,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-021-02385-2,Automatic ultrasound scanning robotic system with optical waveguide-based force measurement,2021,10.1007/s11548-021-02385-2,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-021-02385-2,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-021-02462-6,Force-guided autonomous robotic ultrasound scanning control method for soft uncertain environment.,2021,10.1007/s11548-021-02462-6,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-021-02462-6,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-022-02810-0,A multimodal user interface for touchless control of robotic ultrasound.,2023,10.1007/s11548-022-02810-0,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-022-02810-0.pdf,https://doi.org/10.1007/s11548-022-02810-0,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-024-03152-9,Characterizing the accuracy of robotic bronchoscopy in localization & targeting of small pulmonary lesions.,2024,10.1007/s11548-024-03152-9,1.1,Active observational sensing,主动观察式检测,A4,Bronchoscopic observation and navigation,支气管镜观察与导航,,A4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-024-03152-9,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-024-03178-z,Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails,2024,10.1007/s11548-024-03178-z,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-024-03178-z.pdf,https://doi.org/10.1007/s11548-024-03178-z,Crossref; Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-024-03235-7,Automatic robotic doppler sonography of leg arteries.,2024,10.1007/s11548-024-03235-7,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-024-03235-7.pdf,https://doi.org/10.1007/s11548-024-03235-7,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-025-03336-x,Robotic CBCT meets robotic ultrasound.,2025,10.1007/s11548-025-03336-x,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-025-03336-x.pdf,https://doi.org/10.1007/s11548-025-03336-x,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-025-03347-8,Robot-assisted ultrasound probe calibration for image-guided interventions.,2025,10.1007/s11548-025-03347-8,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://www.ncbi.nlm.nih.gov/pmc/articles/12323678,https://doi.org/10.1007/s11548-025-03347-8,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-025-03445-7,Transformer-based robotic ultrasound 3D tracking for capsule robot in GI tract.,2025,10.1007/s11548-025-03445-7,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-025-03445-7,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-025-03563-2,Personalized scan path planning for robotic ultrasound in head and neck lesions.,2025,10.1007/s11548-025-03563-2,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11548-025-03563-2,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-026-03591-6,Enhanced distance perception in automated robotic endoscopy through scale-aware monocular depth estimation.,2026,10.1007/s11548-026-03591-6,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-026-03591-6.pdf,https://doi.org/10.1007/s11548-026-03591-6,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11548-026-03763-4,"Robotic ultrasound scanning platform with autonomous control, multimodal human-machine interface and real-time image analysis.",2026,10.1007/s11548-026-03763-4,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://link.springer.com/content/pdf/10.1007/s11548-026-03763-4.pdf,https://doi.org/10.1007/s11548-026-03763-4,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1007/s11701-026-03509-z,"Technical challenges in autonomous robotic ultrasound examinations: perception, planning, and control",2026,10.1007/s11701-026-03509-z,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1007/s11701-026-03509-z,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/b978-0-323-99647-1.00009-5,Magnetic capsule endoscopy: concept and application of artificial intelligence,2023,10.1016/b978-0-323-99647-1.00009-5,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/b978-0-323-99647-1.00009-5,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.annemergmed.2022.10.016,Robotic Optical Coherence Tomography Retinal Imaging for Emergency Department Patients: A Pilot Study for Emergency Physicians' Diagnostic Performance.,2023,10.1016/j.annemergmed.2022.10.016,1.1,Active observational sensing,主动观察式检测,A5,Optical coherence tomography acquisition,光学相干断层成像采集,,A5,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/pdf/nihms-1847038.pdf,https://doi.org/10.1016/j.annemergmed.2022.10.016,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.brs.2023.01.593,Closed-loop robotic TMS motor mapping using an online-optimized sampling scheme,2023,10.1016/j.brs.2023.01.593,1.2,Response-based interactive diagnosis,响应式交互诊断,R6,Stimulation-response mapping,刺激—响应映射,,R6,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,http://www.brainstimjrnl.com/article/S1935861X23005958/pdf,https://doi.org/10.1016/j.brs.2023.01.593,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.chest.2020.08.2047,Robotic Bronchoscopy for Peripheral Pulmonary Lesions: A Multicenter Pilot and Feasibility Study (BENEFIT).,2021,10.1016/j.chest.2020.08.2047,1.1,Active observational sensing,主动观察式检测,A4,Bronchoscopic observation and navigation,支气管镜观察与导航,,A4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,http://journal.chestnet.org/article/S0012369220342331/pdf,https://doi.org/10.1016/j.chest.2020.08.2047,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.chpulm.2025.100229,Investigating Partial Registration for Optimizing Robotic-Assisted Bronchoscopy Evaluations of Peripheral Lung Nodules (I-PROBE).,2026,10.1016/j.chpulm.2025.100229,1.1,Active observational sensing,主动观察式检测,A4,Bronchoscopic observation and navigation,支气管镜观察与导航,,A4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://doi.org/10.1016/j.chpulm.2025.100229,https://doi.org/10.1016/j.chpulm.2025.100229,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.compbiomed.2025.110191,Point cloud-guided ultrasound robotic scanning path planning for the kidney based on anatomical positioning,2025,10.1016/j.compbiomed.2025.110191,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.compbiomed.2025.110191,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.eswa.2025.128841,Safe navigation for robotic digestive endoscopy via human intervention-based reinforcement learning,2025,10.1016/j.eswa.2025.128841,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.eswa.2025.128841,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.gie.2015.03.1451,Su1554 Colonoscopy With Robotic Steering and Automated Lumen Centralization Compared With Conventional Colonoscopy: Results of a Randomized In Vitro Pilot Study,2015,10.1016/j.gie.2015.03.1451,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,http://www.giejournal.org/article/S0016510715016740/pdf,https://doi.org/10.1016/j.gie.2015.03.1451,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.gie.2020.05.027,Use of artificial intelligence for detection of gastric lesions by magnetically controlled capsule endoscopy.,2021,10.1016/j.gie.2020.05.027,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.gie.2020.05.027,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.jneumeth.2018.08.007,Robotic TMS mapping of motor cortex in the developing brain.,2018,10.1016/j.jneumeth.2018.08.007,1.2,Response-based interactive diagnosis,响应式交互诊断,R6,Stimulation-response mapping,刺激—响应映射,,R6,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.jneumeth.2018.08.007,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.jneumeth.2022.109689,3D-mapping of TMS effects with automatic robotic placement improved reliability and the risk of spurious correlation,2022,10.1016/j.jneumeth.2022.109689,1.2,Response-based interactive diagnosis,响应式交互诊断,R6,Stimulation-response mapping,刺激—响应映射,,R6,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.jneumeth.2022.109689,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.knee.2012.10.010,Robotic knee laxity testing: reliability and normative data.,2013,10.1016/j.knee.2012.10.010,1.2,Response-based interactive diagnosis,响应式交互诊断,R3,Joint laxity and provocation examination,关节松弛度与激发检查,,R3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.knee.2012.10.010,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.robot.2023.104444,A lumen-adapted navigation scheme with spatial awareness from monocular vision for autonomous robotic endoscopy,2023,10.1016/j.robot.2023.104444,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.robot.2023.104444,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.ultrasmedbio.2009.08.014,Three-dimensional ultrasound guidance of autonomous robotic breast biopsy: feasibility study.,2010,10.1016/j.ultrasmedbio.2009.08.014,1.3,Sample-based interactive diagnosis,采样式交互诊断,S1,Percutaneous or core-needle biopsy,经皮或芯针活检,,S1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/j.ultrasmedbio.2009.08.014,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.ultrasmedbio.2019.10.015,Deep Learning-Based Femoral Cartilage Automatic Segmentation in Ultrasound Imaging for Guidance in Robotic Knee Arthroscopy,2020,10.1016/j.ultrasmedbio.2019.10.015,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,http://www.umbjournal.org/article/S0301562919315522/pdf,https://doi.org/10.1016/j.ultrasmedbio.2019.10.015,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/j.xjtc.2024.05.011,Assessing the accuracy of a multisection robotic bronchoscope prototype in localization and targeting of small pulmonary lesions.,2024,10.1016/j.xjtc.2024.05.011,1.1,Active observational sensing,主动观察式检测,A4,Bronchoscopic observation and navigation,支气管镜观察与导航,,A4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,http://www.jtcvstechniques.org/article/S2666250724002323/pdf,https://doi.org/10.1016/j.xjtc.2024.05.011,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/s0016-5085(24)03224-4,Mo2032 COMPARISON OF GASTRIC SURFACE VISIBILITY IN MAGNETIC CAPSULE ENDOSCOPY USING ROBOTICALLY CONTROLLED AUTOMATION AND ARTEFICIAL INTELLIGENCE VS EXPERT MANUAL CONTROL,2024,10.1016/s0016-5085(24)03224-4,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/s0016-5085(24)03224-4,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/s0016-5107(26)00889-8,Su1368 AUTONOMOUS ROBOTIC COLONOSCOPE INSERTION VIA DEEP LEARNING LUMEN DETECTION AND BEHAVIOR MIMICRY,2026,10.1016/s0016-5107(26)00889-8,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/s0016-5107(26)00889-8,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1016/s2468-1253(21)00274-0,"Fully automated magnetically controlled capsule endoscopy for examination of the stomach and small bowel: a prospective, feasibility, two-centre study.",2021,10.1016/s2468-1253(21)00274-0,1.1,Active observational sensing,主动观察式检测,A3,Active or magnetically controlled capsule endoscopy,主动或磁控胶囊内镜检查,,A3,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1016/s2468-1253(21)00274-0,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1017/s0263574724000407,A trocar puncture robot for assisting venipuncture blood collection,2024,10.1017/s0263574724000407,1.3,Sample-based interactive diagnosis,采样式交互诊断,S4,Venipuncture and phlebotomy,静脉穿刺与采血,,S4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1017/s0263574724000407,Crossref,comparable conservative automated title screen; full-text inclusion pending
