candidate_row_id,task_code,year_reported,title,doi,source_databases,adjudication_status,adjudication_reason,canonical_row_id
340,A8,2012,TH-E-BRA-01: A Line-Source Method for Aligning Onboard-Robotic-Pinhole and Other SPECT-Pinhole Systems,10.1118/1.4736362,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",340
342,A8,2012,TU‐A‐BRA‐01: A Robotic Multi‐Pinhole SPECT System for Onboard and Other Region‐Of‐Interest Imaging,10.1118/1.4735869,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",342
358,A8,2013,Comparison of Radiographic Results of Total Knee Arthroplsty Using Robot-Assisted and Conventional Manual Method in Severe Varus Deformity,,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
361,A8,2013,Deformable image registration for cone-beam CT guided transoral robotic base-of-tongue surgery,10.1088/0031-9155/58/14/4951,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
372,A8,2013,Onboard functional and molecular imaging: A design investigation for robotic multipinhole SPECT,10.1118/1.4845195,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",372
379,A8,2013,SU-D-500-06: On-Board Robotic Multi-Pinhole SPECT System for Prone Breast Imaging,10.1118/1.4814023,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",379
382,A8,2013,TH-A-WAB-04: Respiratory Sorted Imaging Using Region-Of-Interest Robotic Multi-Pinhole SPECT System,10.1118/1.4815698,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",382
389,A8,2013,WE‐G‐500‐09: Robotic Multi‐Pinhole Scenarios for SPECT Molecular and Functional Imaging Onboard and in Other Applications,10.1118/1.4815642,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",389
390,A8,2014,2D–3D radiograph to cone-beam computed tomography (CBCT) registration for C-arm image-guided robotic surgery,10.1007/s11548-014-1132-7,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
393,A8,2014,A hardware investigation of robotic SPECT for functional and molecular imaging onboard radiation therapy systems,10.1118/1.4898121,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",393
394,A8,2014,AUGMENTED REALITY AND INTRAOPERATIVE C-ARM CONE-BEAM COMPUTED TOMOGRAPHY FOR IMAGE-GUIDED ROBOTIC SURGERY,,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
395,A8,2014,Accuracy of Hypofractionated Intracranial Stereotactic Radiation Therapy Under Cone Beam Computed Tomography Image Guidance With a 6 Degrees of Freedom Robotic Couch and Mask System,10.1016/j.ijrobp.2014.05.2542,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
412,A8,2014,MO‐G‐17A‐02: Computer Simulation Studies for On‐Board Functional and Molecular Imaging of the Prostate Using a Robotic Multi‐Pinhole SPECT System,10.1118/1.4889204,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",412
415,A8,2014,On-board Robotic Multi-pinhole SPECT System for Region-of-interest (ROI) Imaging,,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",415
418,A8,2014,ROBOTIC ASSISTED TOTAL HIP REPLACEMENT: IMPROVED RADIOGRAPHIC AND CLINICAL OUTCOMES COMPARED WITH MANUAL TECHNIQUES AT MINIMUM ONE-YEAR FOLLOW-UP,,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
422,A8,2014,SU‐E‐I‐79: Effect of Number of Pinholes in Onboard Robotic Multi‐Pinhole SPECT System,10.1118/1.4888029,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",422
424,A8,2014,TH-C-17A-06: A Hardware Implementation and Evaluation of Robotic SPECT: Toward Molecular Imaging Onboard Radiation Therapy Machines,10.1118/1.4889617,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",424
435,A8,2015,Augmented reality and cone beam CT guidance for transoral robotic surgery,10.1007/s11701-015-0520-5,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
439,A8,2015,First Robotic SPECT for Minimally Invasive Sentinel Lymph Node Mapping,10.1109/tmi.2015.2498125,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",439
443,A8,2015,Image quality and effective dose of a robotic flat panel 3D C‐arm vs computed tomography,10.1002/rcs.1718,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",443
444,A8,2015,Intraoperative 3D Imaging in Spine Surgery: Evaluation of Image Quality of a Robotic Flat Panel 3D C-Arm and Development of a Standard Operating Procedure,10.1055/s-0035-1554301,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",444
452,A8,2015,Radiographic and histopathologic findings of the tongue base in patients with obstructive sleep apnea after transoral robotic surgery: A preliminary study,10.1016/j.sleep.2015.02.042,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
453,A8,2015,Real-time navigation in transoral robotic nasopharyngectomy utilizing on table fluoroscopy and image overlay software: a cadaveric feasibility study,10.1007/s11701-015-0532-1,Europe PMC; OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
454,A8,2015,Robot guidance of an ultrasound probe toward a 3D region of interest detected through X-ray mammography,10.1007/s11548-015-1244-8,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
456,A8,2015,Self-Calibration of Cone-Beam CT Geometry Using 3D-2D Image Registration: Development and Application to Task-Based Imaging with a Robotic C-Arm.,10.1117/12.2082538,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",456
466,A8,2015,Value of C-Arm Cone Beam Computed Tomography Image Fusion in Maximizing the Versatility of Endovascular Robotics,10.1016/j.avsg.2015.06.070,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
492,A8,2016,Multimodal US–gamma imaging using collaborative robotics for cancer staging biopsies,10.1007/s11548-016-1464-6,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",492
495,A8,2016,Navigation of a robot-integrated fluorescence laparoscope in preoperative SPECT/CT and intraoperative freehand SPECT imaging data: a phantom study,10.1117/1.jbo.21.8.086008,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
507,A8,2016,TU-FG-BRB-11: Design and Evaluation of a Robotic C-Arm CBCT System for Image-Guided Proton Therapy,10.1118/1.4957551,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",507
517,A8,2017,A fully autonomous data center for the space-borne hard X-ray Compton polarimeter POLAR developed at PSI,,arXiv,Excluded,"Industrial, materials, or non-clinical acquisition",
519,A8,2017,A robotic C-arm cone beam CT system for image-guided proton therapy: design and performance,10.1259/bjr.20170266,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",519
527,A8,2017,Imaging-guided thoracoscopic resection of a ground-glass opacity lesion in a hybrid operating room equipped with a robotic C-arm CT system,10.21037/jtd.2017.04.48,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",527
532,A8,2017,Minimizing adjuvant treatment after transoral robotic surgery through surgical margin revision and exclusion of radiographic extracapsular extension: A Prospective observational cohort study,10.1002/hed.24712,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
540,A8,2017,Robot-assisted Percutaneous Pedicle Screw Placement Using Three-dimensional Fluoroscopy,10.4103/0366-6999.208251,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
541,A8,2017,Robotic freehand SPECT Imaging,,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",541
542,A8,2017,Robotic versus fluoroscopy-guided pedicle screw insertion for metastatic spinal disease: a matched-cohort comparison,10.3171/2017.3.focus1710,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
544,A8,2017,Spine Navigation Based on 3-Dimensional Robotic Fluoroscopy for Accurate Percutaneous Pedicle Screw Placement: A Prospective Study of 66 Consecutive Cases,10.1016/j.wneu.2017.08.149,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",544
546,A8,2017,Task-Driven Orbit Design and Implementation on a Robotic C-Arm System for Cone-Beam CT.,10.1117/12.2255646,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",546
558,A8,2018,3D Path Planning from a Single 2D Fluoroscopic Image for Robot Assisted Fenestrated Endovascular Aortic Repair,10.1109/icra.2019.8793918,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
564,A8,2018,Accurate and Efficient Calibration of a Robotic C-Arm System Based on X-Ray Observations,,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",564
568,A8,2018,COMPARISON OF ROBOTIC-ASSISTED POSTERIOR APPROACH AND FLUOROSCOPIC-GUIDED ANTERIOR APPROACH ACETABULAR CUP PLACEMENT IN THA,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
574,A8,2018,Comparing Next-Generation Robotic Technology with 3-Dimensional Computed Tomography Navigation Technology for the Insertion of Posterior Pedicle Screws,10.1016/j.wneu.2018.11.190,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
577,A8,2018,Curved periacetabular osteotomy using intraoperative real-time 3-dimensional computed tomography with a robotic C-arm system,10.1097/md.0000000000013519,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",577
580,A8,2018,Feasibility and performance assessment of a practical autonomous deep space navigation system based on X-ray pulsar timing,,arXiv,Excluded,"Industrial, materials, or non-clinical acquisition",
591,A8,2018,Model-Based Calibration of a Robotic C-Arm System Using X-Ray Imaging,10.1142/s2424905x18410027,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",591
601,A8,2018,Radiographic and Clinical Outcomes of Robot-Assisted Posterior Pedicle Screw Fixation: Two-Year Results from a Randomized Controlled Trial,10.3349/ymj.2018.59.3.438,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
602,A8,2018,Radiographic and histologic characterization of tongue base tissues obtained by transoral robotic surgery in patients with obstructive sleep apnea,10.1016/j.anl.2018.06.004,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
608,A8,2018,Robotic in Vivo Fluoroscopic Arthoplasty Evaulations With Normal Patient Movements,,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",608
616,A8,2019,"182. Radiation exposure in posterior lumbar fusion: a comparison of CT image-guided navigation, robotic assistance and intraoperative fluoroscopy",10.1016/j.spinee.2019.05.199,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
617,A8,2019,3D cone-beam CT of the ankle using a novel twin robotic X-ray system: Assessment of image quality and radiation dose,10.1016/j.ejrad.2019.108659,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",617
619,A8,2019,A targeting method for robot-assisted percutaneous needle placement under fluoroscopy guidance,10.1080/24699322.2018.1557907,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
620,A8,2019,Absence of asymptomatic unruptured renal artery pseudoaneurysm on contrast-enhanced computed tomography after robot-assisted partial nephrectomy without parenchymal renorrhaphy,10.1016/j.ajur.2019.07.006,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
650,A8,2019,Navigated percutaneous versus open pedicle screw implantation using intraoperative CT and robotic cone-beam CT imaging,10.1007/s00586-019-06242-4,Europe PMC; OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
659,A8,2019,Radiographic and Clinical Outcomes Following Robotic-Assisted Lateral Unicompartmental Knee Arthroplasty,10.1615/jlongtermeffmedimplants.2019030019,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
661,A8,2019,Real-time 3D Shape Instantiation for Partially-deployed Stent Segment from a Single 2D Fluoroscopic Image in Robot-assisted Fenestrated Endovascular Aortic Repair,10.1109/lra.2019.2950499,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
662,A8,2019,Robot-Assisted Versus Fluoroscopy-Guided Pedicle Screw Placement in Transforaminal Lumbar Interbody Fusion for Lumbar Degenerative Disease,10.1016/j.wneu.2019.01.097,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
665,A8,2019,Robotic needle insertion during computed tomography fluoroscopy–guided biopsy: prospective first-in-human feasibility trial,10.1007/s00330-019-06409-z,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
671,A8,2019,Safety and accuracy of robot-assisted versus fluoroscopy-assisted pedicle screw insertion in thoracolumbar spinal surgery: a prospective randomized controlled trial,10.3171/2018.10.spine18487,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
678,A8,2019,Treating cerebrovascular diseases in hybrid operating room equipped with a robotic angiographic fluoroscopy system: level of necessity and 5-year experiences,10.1007/s00701-018-3769-4,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",678
679,A8,2019,Twin Robotic X-Ray System for 3D Cone-Beam CT of the Wrist: An Evaluation of Image Quality and Radiation Dose,10.2214/ajr.19.21911,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",679
685,A8,2020,3D cone-beam CT with a twin robotic x-ray system in elbow imaging: comparison of image quality to high-resolution multidetector CT,10.1186/s41747-020-00177-y,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",685
687,A8,2020,A Robot-Assisted Spine Surgery System Based on Intraoperative 2D Fluoroscopy Navigation,10.1109/access.2020.2979993,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
715,A8,2020,Evaluation of Ultra-High-Resolution Cone-Beam CT Prototype of Twin Robotic Radiography System for Cadaveric Wrist Imaging,10.1016/j.acra.2020.06.018,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",715
719,A8,2020,Fluoroscopy-guided robotic biopsy intervention system,10.1515/cdbme-2020-0020,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
723,A8,2020,In vivo 3D tomography of the lumbar spine using a twin robotic X-ray system: quantitative and qualitative evaluation of the lumbar neural foramina in supine and upright position,10.1007/s00330-020-07355-x,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",723
731,A8,2020,Metal-Tolerant Noncircular Orbit Design and Implementation on Robotic C-Arm Systems.,,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",731
742,A8,2020,"Radiation Exposure in Posterior Lumbar Fusion: A Comparison of CT Image-Guided Navigation, Robotic Assistance, and Intraoperative Fluoroscopy",10.1177/2192568220908242,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
746,A8,2020,"Regarding “Radiation Exposure in Posterior Lumbar Fusion: A Comparison of CT Image-Guided Navigation, Robotic Assistance, and Intraoperative Fluoroscopy” by Wang et al",10.1177/2192568220956608,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
748,A8,2020,Robot-Assisted Percutaneous Pedicle Screw Placement: Evaluation of Accuracy of the First 100 Screws and Comparison with Cohort of Fluoroscopy-guided Screws,10.1016/j.wneu.2020.07.203,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
755,A8,2020,Robotic-Assisted versus Manually Implanted Total Hip Arthroplasty: A Clinical and Radiographic Comparison.,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
757,A8,2020,Robot‐assisted fluoroscopy‐guided renal puncture for endoscopic combined intrarenal surgery: a pilot single‐centre clinical trial,10.1111/bju.15291,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
759,A8,2020,The experience of surgery and endovascular procedure of cerebrovascular disease in the hybrid operating room; Multi-axis robotic C-arm DSA system.,10.7461/jcen.2020.e2020.10.001,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",759
763,A8,2020,Twin robotic x-ray system in small bone and joint trauma: impact of cone-beam computed tomography on treatment decisions,10.1007/s00330-020-07563-5,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",763
764,A8,2020,Twin-Robotic X-ray System am Handgelenk: Bildqualitätsvergleich des neuen Cone-Beam CT Prototyps mit einem Dual-Source CT-Scanner der 3. Generation,10.1055/s-0040-1703283,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",764
780,A8,2021,Adoption of Robotic Arm-Assisted Total Hip Arthroplasty Results in Reliable Clinical and Radiographic Outcomes at Minimum Two-Year Follow Up,10.52198/21.sti.38.os1420,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
792,A8,2021,Comparison of Robot Versus Fluoroscopy-Assisted Pedicle Screw Instrumentation in Adolescent Idiopathic Scoliosis Surgery,10.21203/rs.3.rs-1004618/v1,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
793,A8,2021,Comparison of the accuracy of the cup position and orientation in total hip arthroplasty for osteoarthritis secondary to developmental dysplasia of the hip between the Mako robotic arm-assisted system and computed tomography-based navigation,10.1007/s00264-021-05015-3,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
796,A8,2021,Deciphering 3D Human Sphygmopalpation Pulse Patterns using “X-ray” Images Acquired from Tactile Robotic Fingers,10.1101/2021.01.10.426152,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
798,A8,2021,Development of a fluoroscopically guided robotic assistant for instrument placement in pelvic trauma surgery,10.1117/1.jmi.8.3.035001,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
801,A8,2021,Dose reduction potential in cone-beam CT imaging of upper extremity joints with a twin robotic x-ray system,10.1038/s41598-021-99748-1,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",801
805,A8,2021,Fluoroscopic Navigation for a Surgical Robotic System Including a Continuum Manipulator,10.1109/tbme.2021.3097631,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
807,A8,2021,Fusion of Technology in Cochlear Implantation Surgery: Investigation of Fluoroscopically Assisted Robotic Electrode Insertion,10.3389/fsurg.2021.741401,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
808,A8,2021,How I do it? Fully endoscopic rhizotomy assisted with three-dimensional robotic C-arm navigation for sacroiliac joint pain.,10.1007/s00701-020-04682-2,Europe PMC,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
819,A8,2021,Knowledge-based self-calibration method of calibration phantom by and for accurate robot-based CT imaging systems,10.1016/j.knosys.2021.107343,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",819
827,A8,2021,Optimized Intraoperative Imaging for Stereotactic Planning with a Multiaxial Robotic C-arm System: Technical Note and Case Series,10.1055/s-0041-1731754,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",827
