work_key,title,year,doi,source_task_codes,source_tasks,sources,record_urls,public_visible,public_available,public_urls,primary_task_code,primary_task_cn,primary_task_en,primary_assignment_rule,classification_confidence,modality_tags,carrier_tags,review_status,scope_status,exclusion_reason,evidence_level
doi:10.1109/lra.2025.3575654,A Hyperspectral Imaging Guided Robotic Grasping System,2025,10.1109/lra.2025.3575654,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.1109/lra.2025.3575654,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.1109/tbme.2025.3550179,Design of Magnetic Actuated Capsule Robot for Liquid Sampling.,2025,10.1109/tbme.2025.3550179,A3,磁控/主动胶囊内镜,Europe PMC,https://europepmc.org/article/MED/40067724,1,0,,T3,主动或磁控胶囊内镜检查,Active or magnetically controlled capsule endoscopy,explicit_capsule_route_over_gastrointestinal_site:T3,high,capsule_endoscopic_imaging_unspecified,magnetic_active_capsule,excluded_by_title_rule_reviewable,excluded_title,belongs_to_sample_based_interaction,title-level candidate; full-text inclusion not completed
doi:10.1201/9781003359593-12,Autonomous Hyperspectral Scanning Tunneling Spectroscopy,2023,10.1201/9781003359593-12,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.1201/9781003359593-12,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,Raman_DRS_spectroscopy;hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.1378/chest.07-0522,Electromagnetic Navigation Bronchoscopy-Guided Fiducial Placement for Robotic Stereotactic Radiosurgery of Lung Tumors,2007,10.1378/chest.07-0522,A4,机器人支气管镜观察/导航,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1378/chest.07-0522; https://europepmc.org/article/MED/17646225; https://openalex.org/W2124449315,1,0,,T4,支气管镜观察与导航,Bronchoscopic observation and navigation,explicit_title_procedure:T4,high,bronchoscopic_imaging_unspecified,robotic_bronchoscope_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1590/s1677-55382009000300011,The use of high resolution optical coherence tomography to evaluate robotic radical prostatectomy specimens,2009,10.1590/s1677-55382009000300011,A5,机器人OCT,OpenAlex,https://openalex.org/W2149495694,1,1,https://www.scielo.br/j/ibju/a/pLhLmh8P4LLQKyGNz3nGHDd/?lang=en&format=pdf,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,OCT,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.2139/ssrn.5108980,Robotic System with Tactile-Enabled High-Resolution Hyperspectral Imaging Device for Autonomous Corn Leaf Phenotyping in Controlled Environments,2025,10.2139/ssrn.5108980,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.2139/ssrn.5108980,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.2352/cic.2022.30.1.15,HDR Multispectral Imaging-based BRDF Measurement using a Flexible Robotic Arm System,2022,10.2352/cic.2022.30.1.15,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.2352/cic.2022.30.1.15,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_manipulator_arm,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.3390/agriculture12060885,Position Accuracy Assessment of a UAV-Mounted Sequoia+ Multispectral Camera Using a Robotic Total Station,2022,10.3390/agriculture12060885,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.3390/agriculture12060885,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.48550/arxiv.2410.07493,Autonomous Robotic System with Optical Coherence Tomography Guidance for Vascular Anastomosis,2024,10.48550/arxiv.2410.07493,A5,机器人OCT,OpenAlex,https://openalex.org/W4403364457,1,1,https://arxiv.org/pdf/2410.07493,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,OCT,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.5090/jcs.2025s1.s6-8,Thoracic Surgery Applications of Robotic Bronchoscopy,2025,10.5090/jcs.2025s1.s6-8,A4,机器人支气管镜观察/导航,Crossref,https://doi.org/10.5090/jcs.2025s1.s6-8,1,0,,T4,支气管镜观察与导航,Bronchoscopic observation and navigation,explicit_title_procedure:T4,high,bronchoscopic_imaging_unspecified,robotic_bronchoscope_unspecified,excluded_by_title_rule_reviewable,excluded_title,secondary_review_or_perspective,title-level candidate; full-text inclusion not completed
doi:10.5220/0005060504590466,Multispectral Data Fusion for Robotic Reconnaissance and Mapping,2014,10.5220/0005060504590466,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.5220/0005060504590466,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
