task_code,mechanism_code,source,query,start_date,end_date,reported_hits,records_retrieved,elapsed_seconds,error
A3,1.1,openalex,robotic colonoscopy,2000-01-01,2026-08-15,146,146,0.21,
A3,1.1,epmc,robotic colonoscopy,2000-01-01,2026-08-15,169,169,0.05,
A3,1.1,arxiv,robotic colonoscopy,2000-01-01,2026-08-15,20,20,0.01,
A3,1.1,openalex,robotic bronchoscopy,2000-01-01,2026-08-15,591,591,0.71,
A3,1.1,epmc,robotic bronchoscopy,2000-01-01,2026-08-15,454,454,0.14,
A3,1.1,arxiv,robotic bronchoscopy,2000-01-01,2026-08-15,8,8,0.0,
A3,1.1,openalex,robotic otoscopy,2000-01-01,2026-08-15,0,0,0.0,
A3,1.1,epmc,robotic otoscopy,2000-01-01,2026-08-15,0,0,0.0,
A3,1.1,arxiv,robotic otoscopy,2000-01-01,2026-08-15,0,0,0.0,
A3,1.1,openalex,robotic laryngoscopy,2000-01-01,2026-08-15,4,4,0.08,
A3,1.1,epmc,robotic laryngoscopy,2000-01-01,2026-08-15,52,52,0.01,
A3,1.1,arxiv,robotic laryngoscopy,2000-01-01,2026-08-15,1,1,0.0,
A3,1.1,openalex,robotic cystoscopy,2000-01-01,2026-08-15,26,26,0.09,
A3,1.1,epmc,robotic cystoscopy,2000-01-01,2026-08-15,159,159,0.06,
A3,1.1,arxiv,robotic cystoscopy,2000-01-01,2026-08-15,0,0,0.0,
A4,1.1,openalex,magnetically controlled capsule endoscopy,2000-01-01,2026-08-15,136,136,0.19,
A4,1.1,epmc,magnetically controlled capsule endoscopy,2000-01-01,2026-08-15,101,101,0.03,
A4,1.1,arxiv,magnetically controlled capsule endoscopy,2000-01-01,2026-08-15,11,11,0.0,
A4,1.1,openalex,active capsule endoscopy,2000-01-01,2026-08-15,64,64,0.12,
A4,1.1,epmc,active capsule endoscopy,2000-01-01,2026-08-15,376,376,0.1,
A4,1.1,arxiv,active capsule endoscopy,2000-01-01,2026-08-15,20,20,0.01,
A4,1.1,openalex,robotic capsule endoscopy,2000-01-01,2026-08-15,58,58,0.11,
A4,1.1,epmc,robotic capsule endoscopy,2000-01-01,2026-08-15,51,51,0.01,
A4,1.1,arxiv,robotic capsule endoscopy,2000-01-01,2026-08-15,24,24,0.01,
A4,1.1,openalex,wireless capsule robot,2000-01-01,2026-08-15,82,82,0.13,
A4,1.1,epmc,wireless capsule robot,2000-01-01,2026-08-15,33,33,0.01,
A4,1.1,arxiv,wireless capsule robot,2000-01-01,2026-08-15,12,12,0.0,
A4,1.1,openalex,diagnostic microrobot imaging,2000-01-01,2026-08-15,1,1,0.08,
A4,1.1,epmc,diagnostic microrobot imaging,2000-01-01,2026-08-15,5,5,0.0,
A4,1.1,arxiv,diagnostic microrobot imaging,2000-01-01,2026-08-15,1,1,0.0,
A5,1.1,openalex,robotic intravascular ultrasound,2000-01-01,2026-08-15,6,6,0.09,
A5,1.1,epmc,robotic intravascular ultrasound,2000-01-01,2026-08-15,17,17,0.01,
A5,1.1,arxiv,robotic intravascular ultrasound,2000-01-01,2026-08-15,2,2,0.0,
A5,1.1,openalex,autonomous intravascular imaging,2000-01-01,2026-08-15,1,1,0.08,
A5,1.1,epmc,autonomous intravascular imaging,2000-01-01,2026-08-15,3,3,0.01,
A5,1.1,arxiv,autonomous intravascular imaging,2000-01-01,2026-08-15,2,2,0.0,
A5,1.1,openalex,robotic OCT catheter,2000-01-01,2026-08-15,0,0,0.0,
A5,1.1,epmc,robotic OCT catheter,2000-01-01,2026-08-15,0,0,0.0,
A5,1.1,arxiv,robotic OCT catheter,2000-01-01,2026-08-15,0,0,0.0,
A5,1.1,openalex,steerable imaging catheter,2000-01-01,2026-08-15,16,16,0.1,
A5,1.1,epmc,steerable imaging catheter,2000-01-01,2026-08-15,91,91,0.02,
A5,1.1,arxiv,steerable imaging catheter,2000-01-01,2026-08-15,4,4,0.0,
A5,1.1,openalex,robotic optical biopsy probe,2000-01-01,2026-08-15,2,2,0.08,
A5,1.1,epmc,robotic optical biopsy probe,2000-01-01,2026-08-15,7,7,0.01,
A5,1.1,arxiv,robotic optical biopsy probe,2000-01-01,2026-08-15,1,1,0.01,
R1,1.2,openalex,robotic palpation,2000-01-01,2026-08-15,134,134,0.16,
R1,1.2,epmc,robotic palpation,2000-01-01,2026-08-15,116,116,0.03,
R1,1.2,arxiv,robotic palpation,2000-01-01,2026-08-15,31,31,0.01,
R1,1.2,openalex,autonomous palpation,2000-01-01,2026-08-15,18,18,0.09,
R1,1.2,epmc,autonomous palpation,2000-01-01,2026-08-15,30,30,0.01,
R1,1.2,arxiv,autonomous palpation,2000-01-01,2026-08-15,5,5,0.0,
R1,1.2,openalex,robotic indentation,2000-01-01,2026-08-15,10,10,0.09,
R1,1.2,epmc,robotic indentation,2000-01-01,2026-08-15,57,57,0.01,
R1,1.2,arxiv,robotic indentation,2000-01-01,2026-08-15,30,30,0.01,
R1,1.2,openalex,robotic tactile tumor detection,2000-01-01,2026-08-15,3,3,0.09,
R1,1.2,epmc,robotic tactile tumor detection,2000-01-01,2026-08-15,9,9,0.01,
R1,1.2,arxiv,robotic tactile tumor detection,2000-01-01,2026-08-15,1,1,0.0,
R1,1.2,openalex,robotic stiffness mapping,2000-01-01,2026-08-15,7,7,0.09,
R1,1.2,epmc,robotic stiffness mapping,2000-01-01,2026-08-15,12,12,0.0,
R1,1.2,arxiv,robotic stiffness mapping,2000-01-01,2026-08-15,39,39,0.01,
R2,1.2,openalex,robotic elastography,2000-01-01,2026-08-15,34,34,0.11,
R2,1.2,epmc,robotic elastography,2000-01-01,2026-08-15,28,28,0.01,
R2,1.2,arxiv,robotic elastography,2000-01-01,2026-08-15,1,1,0.0,
R2,1.2,openalex,automated elastography,2000-01-01,2026-08-15,54,54,0.12,
R2,1.2,epmc,automated elastography,2000-01-01,2026-08-15,178,178,0.05,
R2,1.2,arxiv,automated elastography,2000-01-01,2026-08-15,1,1,0.0,
R2,1.2,openalex,robotic shear wave elastography,2000-01-01,2026-08-15,7,7,0.09,
R2,1.2,epmc,robotic shear wave elastography,2000-01-01,2026-08-15,12,12,0.0,
R2,1.2,arxiv,robotic shear wave elastography,2000-01-01,2026-08-15,1,1,0.0,
R2,1.2,openalex,robotic vibration imaging,2000-01-01,2026-08-15,3,3,0.08,
R2,1.2,epmc,robotic vibration imaging,2000-01-01,2026-08-15,7,7,0.0,
R2,1.2,arxiv,robotic vibration imaging,2000-01-01,2026-08-15,11,11,0.0,
R2,1.2,openalex,robotic percussion,2000-01-01,2026-08-15,53,53,0.11,
R2,1.2,epmc,robotic percussion,2000-01-01,2026-08-15,6,6,0.03,
R2,1.2,arxiv,robotic percussion,2000-01-01,2026-08-15,1,1,0.0,
R3,1.2,openalex,robotic joint laxity,2000-01-01,2026-08-15,9,9,0.09,
R3,1.2,epmc,robotic joint laxity,2000-01-01,2026-08-15,93,93,0.03,
R3,1.2,arxiv,robotic joint laxity,2000-01-01,2026-08-15,0,0,0.0,
R3,1.2,openalex,robotic arthrometer,2000-01-01,2026-08-15,2,2,0.08,
R3,1.2,epmc,robotic arthrometer,2000-01-01,2026-08-15,6,6,0.0,
R3,1.2,arxiv,robotic arthrometer,2000-01-01,2026-08-15,0,0,0.0,
R3,1.2,openalex,robotic spasticity assessment,2000-01-01,2026-08-15,14,14,0.09,
R3,1.2,epmc,robotic spasticity assessment,2000-01-01,2026-08-15,92,92,0.02,
R3,1.2,arxiv,robotic spasticity assessment,2000-01-01,2026-08-15,1,1,0.0,
R3,1.2,openalex,robotic muscle tone assessment,2000-01-01,2026-08-15,0,0,0.0,
R3,1.2,epmc,robotic muscle tone assessment,2000-01-01,2026-08-15,12,12,0.01,
R3,1.2,arxiv,robotic muscle tone assessment,2000-01-01,2026-08-15,0,0,0.0,
R3,1.2,openalex,robotic passive stretch assessment,2000-01-01,2026-08-15,1,1,0.08,
R3,1.2,epmc,robotic passive stretch assessment,2000-01-01,2026-08-15,5,5,0.0,
R3,1.2,arxiv,robotic passive stretch assessment,2000-01-01,2026-08-15,1,1,0.0,
R4,1.2,openalex,robotic TMS,2000-01-01,2026-08-15,61,61,0.11,
R4,1.2,epmc,robotic TMS,2000-01-01,2026-08-15,99,99,0.03,
R4,1.2,arxiv,robotic TMS,2000-01-01,2026-08-15,20,20,0.01,
R4,1.2,openalex,automated TMS mapping,2000-01-01,2026-08-15,2,2,0.09,
R4,1.2,epmc,automated TMS mapping,2000-01-01,2026-08-15,18,18,0.01,
R4,1.2,arxiv,automated TMS mapping,2000-01-01,2026-08-15,3,3,0.0,
R4,1.2,openalex,closed-loop TMS mapping,2000-01-01,2026-08-15,1,1,0.08,
R4,1.2,epmc,closed-loop TMS mapping,2000-01-01,2026-08-15,3,3,0.0,
R4,1.2,arxiv,closed-loop TMS mapping,2000-01-01,2026-08-15,0,0,0.0,
R4,1.2,openalex,robotic motor mapping,2000-01-01,2026-08-15,24,24,0.09,
R4,1.2,epmc,robotic motor mapping,2000-01-01,2026-08-15,97,97,0.06,
R4,1.2,arxiv,robotic motor mapping,2000-01-01,2026-08-15,104,104,0.02,
R4,1.2,openalex,automated nerve stimulation mapping,2000-01-01,2026-08-15,9,9,0.09,
R4,1.2,epmc,automated nerve stimulation mapping,2000-01-01,2026-08-15,9,9,0.0,
R4,1.2,arxiv,automated nerve stimulation mapping,2000-01-01,2026-08-15,0,0,0.0,
R5,1.2,openalex,automated physiological challenge test,2000-01-01,2026-08-15,0,0,0.0,
R5,1.2,epmc,automated physiological challenge test,2000-01-01,2026-08-15,183,183,0.1,
R5,1.2,arxiv,automated physiological challenge test,2000-01-01,2026-08-15,84,84,0.03,
R5,1.2,openalex,robotic vascular occlusion test,2000-01-01,2026-08-15,0,0,0.0,
R5,1.2,epmc,robotic vascular occlusion test,2000-01-01,2026-08-15,52,52,0.02,
R5,1.2,arxiv,robotic vascular occlusion test,2000-01-01,2026-08-15,1,1,0.0,
R5,1.2,openalex,adaptive respiratory challenge,2000-01-01,2026-08-15,1,1,0.08,
R5,1.2,epmc,adaptive respiratory challenge,2000-01-01,2026-08-15,396,396,0.11,
R5,1.2,arxiv,adaptive respiratory challenge,2000-01-01,2026-08-15,52,52,0.01,
R5,1.2,openalex,automated autonomic testing,2000-01-01,2026-08-15,1,1,0.08,
R5,1.2,epmc,automated autonomic testing,2000-01-01,2026-08-15,22,22,0.01,
R5,1.2,arxiv,automated autonomic testing,2000-01-01,2026-08-15,684,300,0.06,
S1,1.3,openalex,robotic percutaneous biopsy,2000-01-01,2026-08-15,25,25,0.09,
S1,1.3,epmc,robotic percutaneous biopsy,2000-01-01,2026-08-15,95,95,0.03,
S1,1.3,arxiv,robotic percutaneous biopsy,2000-01-01,2026-08-15,5,5,0.0,
S1,1.3,openalex,robot-assisted needle biopsy,2000-01-01,2026-08-15,21,21,0.1,
S1,1.3,epmc,robot-assisted needle biopsy,2000-01-01,2026-08-15,90,90,0.03,
S1,1.3,arxiv,robot-assisted needle biopsy,2000-01-01,2026-08-15,4,4,0.0,
S1,1.3,openalex,robotic fine needle aspiration,2000-01-01,2026-08-15,9,9,0.09,
S1,1.3,epmc,robotic fine needle aspiration,2000-01-01,2026-08-15,74,74,0.02,
S1,1.3,arxiv,robotic fine needle aspiration,2000-01-01,2026-08-15,1,1,0.0,
S1,1.3,openalex,robotic core needle biopsy,2000-01-01,2026-08-15,5,5,0.09,
S1,1.3,epmc,robotic core needle biopsy,2000-01-01,2026-08-15,33,33,0.01,
S1,1.3,arxiv,robotic core needle biopsy,2000-01-01,2026-08-15,1,1,0.0,
S2,1.3,openalex,robotic venipuncture,2000-01-01,2026-08-15,30,30,0.1,
S2,1.3,epmc,robotic venipuncture,2000-01-01,2026-08-15,14,14,0.0,
S2,1.3,arxiv,robotic venipuncture,2000-01-01,2026-08-15,2,2,0.0,
S2,1.3,openalex,automated venipuncture,2000-01-01,2026-08-15,9,9,0.09,
S2,1.3,epmc,automated venipuncture,2000-01-01,2026-08-15,86,86,0.04,
S2,1.3,arxiv,automated venipuncture,2000-01-01,2026-08-15,2,2,0.0,
S2,1.3,openalex,robotic phlebotomy,2000-01-01,2026-08-15,4,4,0.08,
S2,1.3,epmc,robotic phlebotomy,2000-01-01,2026-08-15,9,9,0.0,
S2,1.3,arxiv,robotic phlebotomy,2000-01-01,2026-08-15,0,0,0.0,
S2,1.3,openalex,automated blood draw,2000-01-01,2026-08-15,5,5,0.09,
S2,1.3,epmc,automated blood draw,2000-01-01,2026-08-15,91,91,0.03,
S2,1.3,arxiv,automated blood draw,2000-01-01,2026-08-15,2,2,0.0,
S2,1.3,openalex,robotic blood collection,2000-01-01,2026-08-15,12,12,0.09,
S2,1.3,epmc,robotic blood collection,2000-01-01,2026-08-15,123,123,0.04,
S2,1.3,arxiv,robotic blood collection,2000-01-01,2026-08-15,6,6,0.0,
S3,1.3,openalex,robotic bronchoscopy biopsy,2000-01-01,2026-08-15,45,45,0.11,
S3,1.3,epmc,robotic bronchoscopy biopsy,2000-01-01,2026-08-15,187,187,0.06,
S3,1.3,arxiv,robotic bronchoscopy biopsy,2000-01-01,2026-08-15,3,3,0.0,
S3,1.3,openalex,robotic endoscopic biopsy,2000-01-01,2026-08-15,5,5,0.09,
S3,1.3,epmc,robotic endoscopic biopsy,2000-01-01,2026-08-15,95,95,0.03,
S3,1.3,arxiv,robotic endoscopic biopsy,2000-01-01,2026-08-15,4,4,0.0,
S3,1.3,openalex,robot-assisted bronchoscopy sampling,2000-01-01,2026-08-15,18,18,0.1,
S3,1.3,epmc,robot-assisted bronchoscopy sampling,2000-01-01,2026-08-15,6,6,0.0,
S3,1.3,arxiv,robot-assisted bronchoscopy sampling,2000-01-01,2026-08-15,1,1,0.0,
S3,1.3,openalex,robotic endoluminal biopsy,2000-01-01,2026-08-15,1,1,0.08,
S3,1.3,epmc,robotic endoluminal biopsy,2000-01-01,2026-08-15,12,12,0.0,
S3,1.3,arxiv,robotic endoluminal biopsy,2000-01-01,2026-08-15,3,3,0.0,
S4,1.3,openalex,capsule robot biopsy,2000-01-01,2026-08-15,25,25,0.09,
S4,1.3,epmc,capsule robot biopsy,2000-01-01,2026-08-15,18,18,0.0,
S4,1.3,arxiv,capsule robot biopsy,2000-01-01,2026-08-15,4,4,0.0,
S4,1.3,openalex,capsule microbiome sampling,2000-01-01,2026-08-15,21,21,0.09,
S4,1.3,epmc,capsule microbiome sampling,2000-01-01,2026-08-15,28,28,0.02,
S4,1.3,arxiv,capsule microbiome sampling,2000-01-01,2026-08-15,0,0,0.0,
S4,1.3,openalex,smart capsule sampling,2000-01-01,2026-08-15,9,9,0.09,
S4,1.3,epmc,smart capsule sampling,2000-01-01,2026-08-15,8,8,0.0,
S4,1.3,arxiv,smart capsule sampling,2000-01-01,2026-08-15,3,3,0.0,
S4,1.3,openalex,magnetic capsule sampling,2000-01-01,2026-08-15,18,18,0.09,
S4,1.3,epmc,magnetic capsule sampling,2000-01-01,2026-08-15,38,38,0.01,
S4,1.3,arxiv,magnetic capsule sampling,2000-01-01,2026-08-15,4,4,0.0,
S5,1.3,openalex,robotic nasopharyngeal swab,2000-01-01,2026-08-15,20,20,0.1,
S5,1.3,epmc,robotic nasopharyngeal swab,2000-01-01,2026-08-15,11,11,0.01,
S5,1.3,arxiv,robotic nasopharyngeal swab,2000-01-01,2026-08-15,4,4,0.0,
S5,1.3,openalex,robotic oropharyngeal swab,2000-01-01,2026-08-15,16,16,0.09,
S5,1.3,epmc,robotic oropharyngeal swab,2000-01-01,2026-08-15,2,2,0.02,
S5,1.3,arxiv,robotic oropharyngeal swab,2000-01-01,2026-08-15,3,3,0.0,
S5,1.3,openalex,robotic swab sampling,2000-01-01,2026-08-15,30,30,0.1,
S5,1.3,epmc,robotic swab sampling,2000-01-01,2026-08-15,11,11,0.01,
S5,1.3,arxiv,robotic swab sampling,2000-01-01,2026-08-15,10,10,0.0,
S5,1.3,openalex,automated specimen collection robot,2000-01-01,2026-08-15,1,1,0.08,
S5,1.3,epmc,automated specimen collection robot,2000-01-01,2026-08-15,2,2,0.0,
S5,1.3,arxiv,automated specimen collection robot,2000-01-01,2026-08-15,2,2,0.0,
S6,1.3,openalex,robotic saliva collection,2000-01-01,2026-08-15,0,0,0.0,
S6,1.3,epmc,robotic saliva collection,2000-01-01,2026-08-15,7,7,0.0,
S6,1.3,arxiv,robotic saliva collection,2000-01-01,2026-08-15,0,0,0.0,
S6,1.3,openalex,automated urine specimen collection,2000-01-01,2026-08-15,0,0,0.0,
S6,1.3,epmc,automated urine specimen collection,2000-01-01,2026-08-15,17,17,0.01,
S6,1.3,arxiv,automated urine specimen collection,2000-01-01,2026-08-15,0,0,0.0,
S6,1.3,openalex,robotic body fluid sampling,2000-01-01,2026-08-15,0,0,0.0,
S6,1.3,epmc,robotic body fluid sampling,2000-01-01,2026-08-15,3,3,0.0,
S6,1.3,arxiv,robotic body fluid sampling,2000-01-01,2026-08-15,4,4,0.0,
S6,1.3,openalex,adaptive sweat sampling,2000-01-01,2026-08-15,1,1,0.08,
S6,1.3,epmc,adaptive sweat sampling,2000-01-01,2026-08-15,2,2,0.0,
S6,1.3,arxiv,adaptive sweat sampling,2000-01-01,2026-08-15,0,0,0.0,
