source,source_id,title,abstract,year,doi,record_url,public_full_text_url,public_full_text_identified,publication_type,mechanism_code,task_code,query,sources,source_ids,queries,work_key,task_en,task_cn,screening_decision,screening_reason,screening_level
Europe PMC,29671200,Robotic ultrasound-guided facet joint insertion.,"<h4>Purpose</h4>Facet joint insertion is a common treatment of chronic pain in the back and spine. This procedure is often performed under fluoroscopic guidance, where the staff's repetitive radiation exposure remains an unsolved problem. Robotic ultrasound (rUS) has the potential to reduce or even eliminate the use of radiation by using ultrasound with a robotic-guided needle insertion. This work presents first clinical data of rUS-based needle insertions extending previous work of our group.<h4>Methods</h4>Our system implements an automatic US acquisition protocol combined with a calibrated needle targeting system. This approach assists the physician by positioning the needle holder on a trajectory selected in a 3D US volume of the spine.<h4>Results</h4>By the time of submission, nine facets were treated with our approach as first data from an ongoing clinical study. The insertion success rate was shown to be comparable to current clinical practice. Furthermore, US imaging offers additional anatomical context for needle trajectory planning.<h4>Conclusion</h4>This work shows first clinical data for robotic ultrasound-assisted facet joint insertion as a promising solution that can easily be incorporated into the clinical workflow. Presented results show the clinical value of such a system.",2018,10.1007/s11548-018-1759-x,https://openalex.org/W2801809762,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,29671200; https://openalex.org/W2801809762,robotic ultrasound,doi:10.1007/s11548-018-1759-x,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2172221059,Ultrasound Probe and Needle-Guide Calibration for Robotic Ultrasound Scanning and Needle Targeting,"Image-to-robot registration is a typical step for robotic image-guided interventions. If the imaging device uses a portable imaging probe that is held by a robot, this registration is constant and has been commonly named probe calibration. The same applies to probes tracked by a position measurement device. We report a calibration method for 2-D ultrasound probes using robotic manipulation and a planar calibration rig. Moreover, a needle guide that is attached to the probe is also calibrated for ultrasound-guided needle targeting. The method is applied to a transrectal ultrasound (TRUS) probe for robot-assisted prostate biopsy. Validation experiments include TRUS-guided needle targeting accuracy tests. This paper outlines the entire process from the calibration to image-guided targeting. Freehand TRUS-guided prostate biopsy is the primary method of diagnosing prostate cancer, with over 1.2 million procedures performed annually in the U.S. alone. However, freehand biopsy is a highly challenging procedure with subjective quality control. As such, biopsy devices are emerging to assist the physician. Here, we present a method that uses robotic TRUS manipulation. A 2-D TRUS probe is supported by a 4-degree-of-freedom robot. The robot performs ultrasound scanning, enabling 3-D reconstructions. Based on the images, the robot orients a needle guide on target for biopsy. The biopsy is acquired manually through the guide. In vitro tests showed that the 3-D images were geometrically accurate, and an image-based needle targeting accuracy was 1.55 mm. These validate the probe calibration presented and the overall robotic system for needle targeting. Targeting accuracy is sufficient for targeting small, clinically significant prostatic cancer lesions, but actual in vivo targeting will include additional error components that will have to be determined.",2013,10.1109/tbme.2013.2241430,https://openalex.org/W2172221059,,0,article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,23358940; https://openalex.org/W2172221059,robot-assisted ultrasound || robotic ultrasound,doi:10.1109/tbme.2013.2241430,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3185513125,Tele-operated robotic ultrasound system for medical diagnosis,,2021,10.1016/j.bspc.2021.102900,https://openalex.org/W3185513125,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3185513125,robotic ultrasound,doi:10.1016/j.bspc.2021.102900,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3171622331,Automatic 3-D Imaging and Measurement of Human Spines With a Robotic Ultrasound System,"Comparing with X-ray, ultrasound imaging has the advantages of no radiation and easy operation, etc., which is expected to be an effective alternative in clinical assessment for the human spine. At present, freehand scanning is mainly used in ultrasound imaging field, and recently robot-assisted scanning has emerged as a promising way to gradually reduce human intervention. However, the automatic recognition and scanning, as well as the control strategy of robots that guarantee the tight coupling between a probe and human skin, are still challenges. Moreover, the current measurement method of the spine is usually conducted based on plain radiographs, which lacks spatial structure information of spine. In this article, a new radiation-free robotic ultrasound system for 3-D imaging and a measurement method of the spine based on 3-D imaging are presented. A fully convolutional network (FCN) named fuse-Unet based on RGB and depth images captured by an RGB-depth (RGB-D) sensor Kinect, is proposed to realize the automatic recognition of human spine area and scanning path pre-planning. Then a six-degree-of-freedom robotic arm plays the role of a doctor to complete the automatic scanning along the pre-planning path, during which a normal-vector-based method and two force sensors are used to ensure that the probe well fits the spine area. Finally, 3-D ultrasound reconstruction and visualization of the spine are realized, based on which cobb angles are calculated for assessing the morphological structure of the spine. Phantom and in vivo experiments are conducted for evaluating the performance of the proposed system. Experimental results validate the practicability and accuracy of the system, indicating its potential for clinical application.",2021,10.1109/tim.2021.3085110,https://openalex.org/W3171622331,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3171622331,robotic ultrasound,doi:10.1109/tim.2021.3085110,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3003587267,Robotic Ultrasound for Catheter Navigation in Endovascular Procedures,"Endovascular procedures require real time visual feedback on the location of inserted catheters. This is currently achieved using X-ray fluoroscopy, which causes exposure to radiation. This study describes an alternative method using a robotic ultrasound system for catheter tracking and navigation in endovascular interventions, focusing on endovascular aneurysm repair. This approach relies on the registration of pre-operative images to provide both a tracking trajectory and visual feedback of the real-time catheter position. The procedure was validated on healthy volunteers and on a phantom that included a realistic vessel structure, showing an average tracking error of the moving catheter tip of 1.78±1.02 mm.",2019,10.1109/iros40897.2019.8967652,https://openalex.org/W3003587267,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3003587267,robotic ultrasound,doi:10.1109/iros40897.2019.8967652,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2215544116,A Robotic Ultrasound Scanner for Automatic Vessel Tracking and Three-Dimensional Reconstruction of B-Mode Images,"Locating and evaluating the length and severity of a stenosis is very important for planning adequate treatment of peripheral arterial disease (PAD). Conventional ultrasound (US) examination cannot provide maps of entire lower limb arteries in 3-D. We propose a prototype 3D-US robotic system with B-mode images, which is nonionizing, noninvasive, and is able to track and reconstruct a continuous segment of the lower limb arterial tree between the groin and the knee. From an initialized cross-sectional view of the vessel, automatic tracking was conducted followed by 3D-US reconstructions evaluated using Hausdorff distance, cross-sectional area, and stenosis severity in comparison with 3-D reconstructions with computed tomography angiography (CTA). A mean Hausdorff distance of 0.97 ± 0.46 mm was found in vitro for 3D-US compared with 3D-CTA vessel representations. To evaluate the stenosis severity in vitro, 3D-US reconstructions gave errors of 3%-6% when compared with designed dimensions of the phantom, which are comparable to 3D-CTA reconstructions, with 4%-13% errors. The in vivo system's feasibility to reconstruct a normal femoral artery segment of a volunteer was also investigated. These results encourage further ergonomic developments to increase the robot's capacity to represent lower limb vessels in the clinical context.",2015,10.1109/tuffc.2015.2499084,https://openalex.org/W2215544116,,0,article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,26571522; https://openalex.org/W2215544116,robotic ultrasound,doi:10.1109/tuffc.2015.2499084,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,24642160,Robotic nephrolithotomy and pyelolithotomy with utilization of the robotic ultrasound probe.,"<h4>Introduction</h4>The treatment of large renal stones in children can be challenging often requiring combination therapy and multiple procedures. The purpose of this video is to describe our technique of robotic nephrolithotomy and pyelolithotomy for complex renal stone disease in children, and to demonstrate the utility of the robotic ultrasound probe to aid with stone localization.<h4>Materials and methods</h4>Robotic nephrolithotomy/pyelolithotomy was carried out in four consecutive patients. A robotic ultrasound probe (Hitachi-Aloka, Tokyo, Japan) under console surgeon control was used in all cases.<h4>Results</h4>Two patients underwent robotic pyelolithotomy, one patient underwent robotic nephrolithotomy, whilst the fourth patient underwent robotic pyelolithotomy and nephrolithotomy along with Y-V pyeloplasty for concurrent ureteropelvic junction obstruction. Mean operative time, blood loss and hospital stay was 216 minutes, 37.5 mL and 2 days, respectively. The robotic ultrasound probe aided identification of calculi within the kidney in all cases. For nephroli¬thotomy it was helpful in planning the incision for nephrotomy. After nephrotomy or pyelotomy, stones were removed using a combination of robotic Maryland forceps, fenestrated grasper or Prograsp. Antegrade nephroscopy introduced through a laparoscopic port was used in all patients for confirmation of residual stone status. Two patients did not require a ureteral stent in the post-operative period. One patient had a minor complication (Clavien Grade 2 - dislodged malecot catheter). All patients were stone free at last follow-up.<h4>Conclusions</h4>Robotic nephrolithotomy and pyelolithotomy with utilization of the robotic ultrasound probe offers a one-stop solution for complex renal stones with excellent stone-free rates.",2014,10.1590/s1677-5538.ibju.2014.01.19,https://openalex.org/W1918844554,https://www.scielo.br/j/ibju/a/dzRDBmHR4PysH7FX69SFpMt/?lang=en&format=pdf,1,Video-Audio Media; Journal Article; Case Reports,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,24642160; https://openalex.org/W1918844554,robotic ultrasound,doi:10.1590/s1677-5538.ibju.2014.01.19,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4323338439,Inverse-Reinforcement-Learning-Based Robotic Ultrasound Active Compliance Control in Uncertain Environments,"Robotic ultrasound systems (RUSs) have gained increasing attention because they can automate repetitive procedures and relieve operators’ workloads. However, the complexity and uncertainty of the human surface pose a challenge for stable scanning control. This article proposes a general active compliance control strategy based on inverse reinforcement learning (IRL) to perform adaptable scanning for uncertain and unstructured environments. We analyze the manual scanning process pattern and propose a velocity-and-force-related control strategy to achieve variable force control and handle unpredictable deformation. Then, a hybrid policy optimization framework is proposed to improve transferability. In this framework, a reinforcement learning policy with a predefined reward is built to establish the relationship between contact force and posture. Furthermore, the policy is re-optimized using IRL and generated demonstrations for IRL training. The policy is trained on simple standard phantoms and further evaluated for stability and transferability in unseen and complex environments. Quantitative results show that the difference between the proposed method and the three-dimensional (3-D) reconstructed model in terms of posture is (2.3±1.3°, 1.9±1.2°) in continuous scans. Overall, our method provides a solution for improving the usability of RUSs in real-world environments.",2023,10.1109/tie.2023.3250767,https://openalex.org/W4323338439,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4323338439,robotic ultrasound,doi:10.1109/tie.2023.3250767,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2555681516,"Robotic Ultrasound: View Planning, Tracking, and Automatic Acquisition of Transesophageal Echocardiography","Automatic ultrasound acquisitions using medical robots would greatly increase the general usability of medical ultrasound with the added benefits of remote control and built-in intelligence. However, novel methods are required to provide an overall workflow linking robotic systems with ultrasound acquisitions. Based on a newly developed robot for transesophageal echocardiography (TEE), we propose a view-planning platform, an autoadaption method for patient-specific data, and an image-based probe tracking method. With all of these ingredients, a phantom experiment was performed with both openloop and closed-loop positioning methods, aimed at proving the concept of automatic ultrasound acquisition. The results demonstrated the feasibility of the whole workflow and indicated high accuracy of acquisition in terms of keeping desired anatomies in the field of view.",2016,10.1109/mra.2016.2580478,https://openalex.org/W2555681516,https://kclpure.kcl.ac.uk/ws/files/108592195/Robotic_Ultrasound_View_Planning_Tracking_and_Automatic_Acquisition_of_Trans_esophageal_Echocardiography.pdf,1,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W2555681516,robotic ultrasound,doi:10.1109/mra.2016.2580478,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4292793935,Precise Repositioning of Robotic Ultrasound: Improving Registration-Based Motion Compensation Using Ultrasound Confidence Optimization,"Robotic ultrasound (US) imaging has been seen as a promising solution to overcome the limitations of free-hand US examinations, i.e., interoperator variability. However, the fact that robotic US systems (RUSSs) cannot react to subject movements during scans limits their clinical acceptance. Regarding human sonographers, they often react to patient movements by repositioning the probe or even restarting the acquisition, in particular for the scans of anatomies with long structures like limb arteries. To realize this characteristic, we proposed a vision-based system to monitor the subject’s movement and automatically update the scan trajectory thus seamlessly obtaining a complete 3-D image of the target anatomy. The motion monitoring module is developed using the segmented object masks from RGB images. Once the subject is moved, the robot will stop and recompute a suitable trajectory by registering the surface point clouds of the object obtained before and after the movement using the iterative closest point (ICP) algorithm. Afterward, to ensure optimal contact conditions after repositioning US probe, a confidence-based fine-tuning process is used to avoid potential gaps between the probe and contact surface. Finally, the whole system is validated on a human-like arm phantom with an uneven surface, while the object segmentation network is also validated on volunteers. The results demonstrate that the presented system can react to object movements and reliably provide accurate 3-D images.",2022,10.1109/tim.2022.3200360,https://openalex.org/W4292793935,https://arxiv.org/pdf/2208.05383,1,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4292793935,robotic ultrasound,doi:10.1109/tim.2022.3200360,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
