task_code,domain,task,paper_key,title,year,doi,sources,record_url,public_full_text_identified,best_public_url,screening_level
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/978-3-642-33418-4_67,Ultrasound and fluoroscopic images fusion by autonomous ultrasound probe detection.,2012,10.1007/978-3-642-33418-4_67,Europe PMC; OpenAlex,https://doi.org/10.1007/978-3-642-33418-4_67,yes,https://link.springer.com/content/pdf/10.1007/978-3-642-33418-4_67.pdf,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1007/s00132-025-04753-1,Palpation sensing for robotic-assisted surgery Palpationssensorik für die robotergestützte Chirurgie,2025,10.1007/s00132-025-04753-1,Crossref,https://doi.org/10.1007/s00132-025-04753-1,yes,https://link.springer.com/content/pdf/10.1007/s00132-025-04753-1.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1007/s00138-017-0905-8,Sparse-then-Dense Alignment based 3D Map Reconstruction Method for Endoscopic Capsule Robots,2017,10.1007/s00138-017-0905-8,arXiv,https://doi.org/10.1007/s00138-017-0905-8,yes,https://link.springer.com/content/pdf/10.1007%2Fs00138-017-0905-8.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1007/s00464-025-12415-8,Application of artificial intelligence for detection of Helicobacter pylori infection by magnetically controlled capsule endoscopy.,2026,10.1007/s00464-025-12415-8,Europe PMC,https://doi.org/10.1007/s00464-025-12415-8,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s10396-026-01667-z,Feasibility and preliminary validation of an autonomous robotic ultrasound system for thyroid nodule screening: a pilot prospective study.,2026,10.1007/s10396-026-01667-z,Europe PMC; OpenAlex,https://doi.org/10.1007/s10396-026-01667-z,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1007/s10846-022-01615-2,A Visual Servo Controlled Robotic System for MRI-guided Breast Biopsy,2022,10.1007/s10846-022-01615-2,Crossref,https://doi.org/10.1007/s10846-022-01615-2,no,,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1007/s11431-022-2232-5,Puncture site decision method for venipuncture robot based on near-infrared vision and multiobjective optimization.,2023,10.1007/s11431-022-2232-5,Europe PMC,https://doi.org/10.1007/s11431-022-2232-5,yes,https://link.springer.com/content/pdf/10.1007/s11431-022-2232-5.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11432-018-9664-3,Automatic ultrasound scanning system based on robotic arm,2019,10.1007/s11432-018-9664-3,Crossref,https://doi.org/10.1007/s11432-018-9664-3,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11432-024-4288-3,Toward eFAST autonomous robotic ultrasound imaging: system integrations and experimental studies,2025,10.1007/s11432-024-4288-3,Crossref; OpenAlex,https://doi.org/10.1007/s11432-024-4288-3,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-017-1561-1,On the reproducibility of expert-operated and robotic ultrasound acquisitions.,2017,10.1007/s11548-017-1561-1,Europe PMC,https://doi.org/10.1007/s11548-017-1561-1,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-017-1566-9,Force-assisted ultrasound imaging system through dual force sensing and admittance robot control.,2017,10.1007/s11548-017-1566-9,Europe PMC,https://doi.org/10.1007/s11548-017-1566-9,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-018-1759-x,Robotic ultrasound-guided facet joint insertion.,2018,10.1007/s11548-018-1759-x,Europe PMC,https://doi.org/10.1007/s11548-018-1759-x,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-020-02130-1,Robotic fetal ultrasonography platform with a passive scan mechanism.,2020,10.1007/s11548-020-02130-1,Europe PMC,https://doi.org/10.1007/s11548-020-02130-1,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-021-02385-2,Automatic ultrasound scanning robotic system with optical waveguide-based force measurement,2021,10.1007/s11548-021-02385-2,Crossref,https://doi.org/10.1007/s11548-021-02385-2,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-021-02462-6,Force-guided autonomous robotic ultrasound scanning control method for soft uncertain environment.,2021,10.1007/s11548-021-02462-6,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-021-02462-6,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-022-02810-0,A multimodal user interface for touchless control of robotic ultrasound.,2023,10.1007/s11548-022-02810-0,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-022-02810-0,yes,https://link.springer.com/content/pdf/10.1007/s11548-022-02810-0.pdf,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1007/s11548-024-03152-9,Characterizing the accuracy of robotic bronchoscopy in localization & targeting of small pulmonary lesions.,2024,10.1007/s11548-024-03152-9,Europe PMC,https://doi.org/10.1007/s11548-024-03152-9,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-024-03178-z,Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails,2024,10.1007/s11548-024-03178-z,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-024-03178-z,yes,https://link.springer.com/content/pdf/10.1007/s11548-024-03178-z.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-024-03235-7,Automatic robotic doppler sonography of leg arteries.,2024,10.1007/s11548-024-03235-7,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-024-03235-7,yes,https://link.springer.com/content/pdf/10.1007/s11548-024-03235-7.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-025-03336-x,Robotic CBCT meets robotic ultrasound.,2025,10.1007/s11548-025-03336-x,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-025-03336-x,yes,https://link.springer.com/content/pdf/10.1007/s11548-025-03336-x.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-025-03347-8,Robot-assisted ultrasound probe calibration for image-guided interventions.,2025,10.1007/s11548-025-03347-8,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-025-03347-8,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/12323678,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-025-03445-7,Transformer-based robotic ultrasound 3D tracking for capsule robot in GI tract.,2025,10.1007/s11548-025-03445-7,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-025-03445-7,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-025-03563-2,Personalized scan path planning for robotic ultrasound in head and neck lesions.,2025,10.1007/s11548-025-03563-2,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-025-03563-2,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1007/s11548-026-03591-6,Enhanced distance perception in automated robotic endoscopy through scale-aware monocular depth estimation.,2026,10.1007/s11548-026-03591-6,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-026-03591-6,yes,https://link.springer.com/content/pdf/10.1007/s11548-026-03591-6.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11548-026-03763-4,"Robotic ultrasound scanning platform with autonomous control, multimodal human-machine interface and real-time image analysis.",2026,10.1007/s11548-026-03763-4,Europe PMC; OpenAlex,https://doi.org/10.1007/s11548-026-03763-4,yes,https://link.springer.com/content/pdf/10.1007/s11548-026-03763-4.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/s11701-026-03509-z,"Technical challenges in autonomous robotic ultrasound examinations: perception, planning, and control",2026,10.1007/s11701-026-03509-z,Crossref; OpenAlex,https://doi.org/10.1007/s11701-026-03509-z,no,,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1016/b978-0-323-99647-1.00009-5,Magnetic capsule endoscopy: concept and application of artificial intelligence,2023,10.1016/b978-0-323-99647-1.00009-5,Crossref,https://doi.org/10.1016/b978-0-323-99647-1.00009-5,no,,conservative automated title screen
A5,Active observational sensing,Robotic OCT,doi:10.1016/j.annemergmed.2022.10.016,Robotic Optical Coherence Tomography Retinal Imaging for Emergency Department Patients: A Pilot Study for Emergency Physicians' Diagnostic Performance.,2023,10.1016/j.annemergmed.2022.10.016,Europe PMC,https://doi.org/10.1016/j.annemergmed.2022.10.016,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/pdf/nihms-1847038.pdf,conservative automated title screen
R6,Response-based interactive diagnosis,Closed-loop TMS response mapping,doi:10.1016/j.brs.2023.01.593,Closed-loop robotic TMS motor mapping using an online-optimized sampling scheme,2023,10.1016/j.brs.2023.01.593,Crossref; OpenAlex,https://doi.org/10.1016/j.brs.2023.01.593,yes,http://www.brainstimjrnl.com/article/S1935861X23005958/pdf,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1016/j.chest.2020.08.2047,Robotic Bronchoscopy for Peripheral Pulmonary Lesions: A Multicenter Pilot and Feasibility Study (BENEFIT).,2021,10.1016/j.chest.2020.08.2047,Europe PMC; OpenAlex,https://doi.org/10.1016/j.chest.2020.08.2047,yes,http://journal.chestnet.org/article/S0012369220342331/pdf,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1016/j.chpulm.2025.100229,Investigating Partial Registration for Optimizing Robotic-Assisted Bronchoscopy Evaluations of Peripheral Lung Nodules (I-PROBE).,2026,10.1016/j.chpulm.2025.100229,Europe PMC,https://doi.org/10.1016/j.chpulm.2025.100229,yes,https://doi.org/10.1016/j.chpulm.2025.100229,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1016/j.compbiomed.2025.110191,Point cloud-guided ultrasound robotic scanning path planning for the kidney based on anatomical positioning,2025,10.1016/j.compbiomed.2025.110191,Crossref,https://doi.org/10.1016/j.compbiomed.2025.110191,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1016/j.eswa.2025.128841,Safe navigation for robotic digestive endoscopy via human intervention-based reinforcement learning,2025,10.1016/j.eswa.2025.128841,Crossref,https://doi.org/10.1016/j.eswa.2025.128841,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1016/j.gie.2015.03.1451,Su1554 Colonoscopy With Robotic Steering and Automated Lumen Centralization Compared With Conventional Colonoscopy: Results of a Randomized In Vitro Pilot Study,2015,10.1016/j.gie.2015.03.1451,Crossref,https://doi.org/10.1016/j.gie.2015.03.1451,yes,http://www.giejournal.org/article/S0016510715016740/pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1016/j.gie.2020.05.027,Use of artificial intelligence for detection of gastric lesions by magnetically controlled capsule endoscopy.,2021,10.1016/j.gie.2020.05.027,Europe PMC,https://doi.org/10.1016/j.gie.2020.05.027,no,,conservative automated title screen
R6,Response-based interactive diagnosis,Closed-loop TMS response mapping,doi:10.1016/j.jneumeth.2018.08.007,Robotic TMS mapping of motor cortex in the developing brain.,2018,10.1016/j.jneumeth.2018.08.007,Europe PMC,https://doi.org/10.1016/j.jneumeth.2018.08.007,no,,conservative automated title screen
R6,Response-based interactive diagnosis,Closed-loop TMS response mapping,doi:10.1016/j.jneumeth.2022.109689,3D-mapping of TMS effects with automatic robotic placement improved reliability and the risk of spurious correlation,2022,10.1016/j.jneumeth.2022.109689,Crossref,https://doi.org/10.1016/j.jneumeth.2022.109689,no,,conservative automated title screen
R3,Response-based interactive diagnosis,Robotic joint laxity/provocation,doi:10.1016/j.knee.2012.10.010,Robotic knee laxity testing: reliability and normative data.,2013,10.1016/j.knee.2012.10.010,Europe PMC,https://doi.org/10.1016/j.knee.2012.10.010,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1016/j.robot.2023.104444,A lumen-adapted navigation scheme with spatial awareness from monocular vision for autonomous robotic endoscopy,2023,10.1016/j.robot.2023.104444,Crossref; OpenAlex,https://doi.org/10.1016/j.robot.2023.104444,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1016/j.ultrasmedbio.2009.08.014,Three-dimensional ultrasound guidance of autonomous robotic breast biopsy: feasibility study.,2010,10.1016/j.ultrasmedbio.2009.08.014,Europe PMC; OpenAlex,https://doi.org/10.1016/j.ultrasmedbio.2009.08.014,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1016/j.ultrasmedbio.2019.10.015,Deep Learning-Based Femoral Cartilage Automatic Segmentation in Ultrasound Imaging for Guidance in Robotic Knee Arthroscopy,2020,10.1016/j.ultrasmedbio.2019.10.015,Crossref,https://doi.org/10.1016/j.ultrasmedbio.2019.10.015,yes,http://www.umbjournal.org/article/S0301562919315522/pdf,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1016/j.xjtc.2024.05.011,Assessing the accuracy of a multisection robotic bronchoscope prototype in localization and targeting of small pulmonary lesions.,2024,10.1016/j.xjtc.2024.05.011,Europe PMC; OpenAlex,https://doi.org/10.1016/j.xjtc.2024.05.011,yes,http://www.jtcvstechniques.org/article/S2666250724002323/pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1016/s0016-5085(24)03224-4,Mo2032 COMPARISON OF GASTRIC SURFACE VISIBILITY IN MAGNETIC CAPSULE ENDOSCOPY USING ROBOTICALLY CONTROLLED AUTOMATION AND ARTEFICIAL INTELLIGENCE VS EXPERT MANUAL CONTROL,2024,10.1016/s0016-5085(24)03224-4,Crossref,https://doi.org/10.1016/s0016-5085(24)03224-4,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1016/s0016-5107(26)00889-8,Su1368 AUTONOMOUS ROBOTIC COLONOSCOPE INSERTION VIA DEEP LEARNING LUMEN DETECTION AND BEHAVIOR MIMICRY,2026,10.1016/s0016-5107(26)00889-8,Crossref,https://doi.org/10.1016/s0016-5107(26)00889-8,no,,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1016/s2468-1253(21)00274-0,"Fully automated magnetically controlled capsule endoscopy for examination of the stomach and small bowel: a prospective, feasibility, two-centre study.",2021,10.1016/s2468-1253(21)00274-0,Europe PMC,https://doi.org/10.1016/s2468-1253(21)00274-0,no,,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1017/s0263574724000407,A trocar puncture robot for assisting venipuncture blood collection,2024,10.1017/s0263574724000407,Crossref,https://doi.org/10.1017/s0263574724000407,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41467-024-48421-y,A fully autonomous robotic ultrasound system for thyroid scanning,2024,10.1038/s41467-024-48421-y,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1038/s41467-024-48421-y,yes,https://www.nature.com/articles/s41467-024-48421-y.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1038/s41467-024-49019-0,Robotic wireless capsule endoscopy: recent advances and upcoming technologies,2024,10.1038/s41467-024-49019-0,Crossref,https://doi.org/10.1038/s41467-024-49019-0,yes,https://www.nature.com/articles/s41467-024-49019-0.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41467-025-62865-w,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system.,2025,10.1038/s41467-025-62865-w,Europe PMC,https://doi.org/10.1038/s41467-025-62865-w,yes,https://www.nature.com/articles/s41467-025-62865-w.pdf,conservative automated title screen
A5,Active observational sensing,Robotic OCT,doi:10.1038/s41551-021-00753-6,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner.,2021,10.1038/s41551-021-00753-6,Europe PMC,https://doi.org/10.1038/s41551-021-00753-6,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/9272353,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41597-025-06047-9,"A large, paired dataset of robotic and handheld lumbar spine ultrasound with ground-truth CT benchmarking.",2025,10.1038/s41597-025-06047-9,Europe PMC,https://doi.org/10.1038/s41597-025-06047-9,yes,https://www.nature.com/articles/s41597-025-06047-9.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41598-024-55480-0,Design and testing of ultrasound probe adapters for a robotic imaging platform,2024,10.1038/s41598-024-55480-0,Crossref,https://doi.org/10.1038/s41598-024-55480-0,yes,https://www.nature.com/articles/s41598-024-55480-0.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41598-025-31892-4,Fully automated robotic ultrasound gallbladder imaging with subcostal scanning,2025,10.1038/s41598-025-31892-4,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1038/s41598-025-31892-4,yes,https://www.nature.com/articles/s41598-025-31892-4_reference.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1038/s41598-026-37702-9,Autonomous path planning for intercostal robotic ultrasound imaging using reinforcement learning,2026,10.1038/s41598-026-37702-9,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1038/s41598-026-37702-9,yes,https://www.nature.com/articles/s41598-026-37702-9.pdf,conservative automated title screen
A5,Active observational sensing,Robotic OCT,doi:10.1038/s44172-024-00264-7,Large area kidney imaging for pre-transplant evaluation using real-time robotic optical coherence tomography.,2024,10.1038/s44172-024-00264-7,Europe PMC; OpenAlex,https://doi.org/10.1038/s44172-024-00264-7,yes,https://www.nature.com/articles/s44172-024-00264-7.pdf,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1049/ell2.13121,Design and development of robotic system for precise vascular access and autonomous venipuncture,2024,10.1049/ell2.13121,Crossref; OpenAlex,https://doi.org/10.1049/ell2.13121,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/ell2.13121,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1055/a-0774-4554,Assessment of technical parameters and skills training to inform a simulation-based training program for semi-automated robotic colonoscopy.,2019,10.1055/a-0774-4554,Europe PMC; OpenAlex,https://doi.org/10.1055/a-0774-4554,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-0774-4554.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1055/a-1724-6958,Real-time identification of gastric lesions and anatomical landmarks by artificial intelligence during magnetically controlled capsule endoscopy.,2022,10.1055/a-1724-6958,Europe PMC,https://doi.org/10.1055/a-1724-6958,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1724-6958.pdf,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1055/s-0034-1392550,Colonoscopy with robotic steering and automated lumen centralization: a feasibility study in a colon model,2015,10.1055/s-0034-1392550,Crossref,https://doi.org/10.1055/s-0034-1392550,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0034-1392550.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1080/01691864.2024.2315058,Autonomous scanning motion generation adapted to individual differences in abdominal shape for robotic fetal ultrasound,2024,10.1080/01691864.2024.2315058,Crossref,https://doi.org/10.1080/01691864.2024.2315058,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1080/03091902.2016.1275853,"Design and preliminary evaluation of a self-steering, pneumatically driven colonoscopy robot.",2017,10.1080/03091902.2016.1275853,Europe PMC; OpenAlex,https://doi.org/10.1080/03091902.2016.1275853,no,,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1080/13645706.2022.2032181,Robot-assisted magnetic capsule endoscopy; navigating colorectal inclinations.,2022,10.1080/13645706.2022.2032181,Europe PMC; OpenAlex,https://doi.org/10.1080/13645706.2022.2032181,yes,https://www.tandfonline.com/doi/pdf/10.1080/13645706.2022.2032181?needAccess=true,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1088/1361-6560/abf277,Towards automated ultrasound imaging-robotic image acquisition in liver and prostate for long-term motion monitoring.,2021,10.1088/1361-6560/abf277,Europe PMC; OpenAlex,https://doi.org/10.1088/1361-6560/abf277,yes,https://iopscience.iop.org/article/10.1088/1361-6560/abf277/pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1089/end.2012.0528,Comparison of robotic and laparoscopic ultrasound probes for robotic partial nephrectomy.,2013,10.1089/end.2012.0528,Europe PMC; OpenAlex,https://doi.org/10.1089/end.2012.0528,no,,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1093/clinchem/hvag029,"Performance, Safety, and Patient Experience of an Autonomous Robotic Phlebotomy Device: A Multicenter Trial.",2026,10.1093/clinchem/hvag029,Europe PMC; OpenAlex,https://doi.org/10.1093/clinchem/hvag029,yes,https://doi.org/10.1093/clinchem/hvag029,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1097/01.ccm.0001186612.35676.db,1154: INITIAL TESTING OF THE NOVEL RAPIDSCAN AUTONOMOUS 30-SECOND ULTRASOUND IMAGING DEVICE,2026,10.1097/01.ccm.0001186612.35676.db,Crossref,https://doi.org/10.1097/01.ccm.0001186612.35676.db,no,,conservative automated title screen
S2,Sample-based interactive diagnosis,Robotic endoscopic/bronchoscopic biopsy,doi:10.1097/lbr.0000000000001050,Proceduralist-Directed Rapid On-Site Pathologic Evaluation (ROPE) Using Dynamic Cell Imaging: A Pilot Study of Peripheral Pulmonary Lesion Sampling Through Robotic Bronchoscopy.,2026,10.1097/lbr.0000000000001050,Europe PMC,https://doi.org/10.1097/lbr.0000000000001050,yes,https://doi.org/10.1097/lbr.0000000000001050,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/access.2021.3077037,RobUSt–An Autonomous Robotic Ultrasound System for Medical Imaging,2021,10.1109/access.2021.3077037,Crossref; OpenAlex,https://doi.org/10.1109/access.2021.3077037,yes,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09420731.pdf,conservative automated title screen
S5,Sample-based interactive diagnosis,Robotic swab/specimen collection,doi:10.1109/access.2026.3672161,Robotic Automation of Nasopharyngeal Swab Collection With Non-Contact Posture Adaptation,2026,10.1109/access.2026.3672161,Crossref,https://doi.org/10.1109/access.2026.3672161,yes,https://doi.org/10.1109/access.2026.3672161,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/biorob.2016.7523646,Autonomous robotic palpation of soft tissue using the modulation of applied force,2016,10.1109/biorob.2016.7523646,Crossref; OpenAlex,https://doi.org/10.1109/biorob.2016.7523646,yes,https://kclpure.kcl.ac.uk/ws/files/55807955/Konstantinova_BioRob2016.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/case56687.2023.10260479,RUSOpt: Robotic UltraSound Probe Normalization with Bayesian Optimization for In-plane and Out-plane Scanning,2023,10.1109/case56687.2023.10260479,OpenAlex; arXiv,https://doi.org/10.1109/case56687.2023.10260479,yes,https://arxiv.org/pdf/2310.03406,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/case58245.2025.11163944,An Autonomous Robotic System for Aorta Ultrasound Screening with Deep Learning Segmentation,2025,10.1109/case58245.2025.11163944,Crossref,https://doi.org/10.1109/case58245.2025.11163944,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/embc46164.2021.9630059,Development of a tendon driven robotic probe for prostate palpation.,2021,10.1109/embc46164.2021.9630059,Europe PMC; OpenAlex,https://doi.org/10.1109/embc46164.2021.9630059,yes,https://ieeexplore.ieee.org/ielx7/9629355/9629471/09630059.pdf,conservative automated title screen
